STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
88,"2021-03-12,01:15",0,-,-,0,206.441,0,29.37,917.7
88,"2021-03-17,12:30",0,-,-,15,205.606,0,30.37,920.6
88,"2021-03-17,12:45",34.6,39.7,-0.007072,7.5,-,0,30.62,920.3
88,"2021-03-17,13:30",32.7,39.9,-0.029536,0,-,0,31.31,919.3
88,"2021-03-17,13:45",33.2,38.8,0.027,0,-,0,31.18,919.1
88,"2021-03-17,14:00",32.3,41.5,0.018464,5,-,0,31.06,919
88,"2021-03-17,14:30",32.40,38.60,0.020000,0.00,-,0,31.06,918.1
88,"2021-03-17,14:45",28.30,58.90,-,25.00,205.85,0,31.06,918.3
88,"2021-03-17,15:30",31.70,42.80,0.020000,0.00,-,0,31.06,917.5
88,"2021-03-17,15:45",0.00,52.30,-,10.00,206.621,0,31.06,917.5
88,"2021-03-17,16:30",28.50,50.10,0.016000,0.00,-,0,29.75,917.3
88,"2021-03-17,16:45",28.20,53.20,0.015000,0.00,-,0,29.62,917.3
88,"2021-03-17,17:30",27.60,61.10,0.012000,0.00,-,0,29.12,917.1
88,"2021-03-17,17:45",27.50,60.80,0.011000,0.00,-,0,29.00,916.9
88,"2021-03-17,18:15",27.50,60.90,0.006000,0.00,-,0,28.75,916.9
88,"2021-03-17,18:30",26.90,63.60,0.003000,0.00,-,0,28.62,917.1
88,"2021-03-17,18:45",26.70,65.10,0.003000,0.00,-,0,28.56,917.3
88,"2021-03-17,19:15",25.90,65.10,-,0.00,206.441,0,28.18,917.7
88,"2021-03-17,19:30",25.70,66.30,-,0.00,206.441,0,28.12,917.8
88,"2021-03-17,20:15",25.10,71.00,-,0.00,206.441,0,27.68,918.3
88,"2021-03-17,20:30",25.00,69.70,-,0.00,206.441,0,27.56,918.6
88,"2021-03-17,22:15",0.00,-,-,0.00,205.676,0,26.93,920.4
88,"2021-03-17,23:15",0.00,-,-,5.00,206.441,0,26.62,922.1
88,"2021-03-18,00:15",0.00,-,-,0.00,206.441,0,26.31,922.0
88,"2021-03-18,12:00",0.00,-,-0.019072,7.50,-,0,30.31,924.0
88,"2021-03-18,13:15",30.90,49.90,-0.007072,7.50,-,0,32.18,922.5
88,"2021-03-18,14:45",33.70,44.20,-0.016072,0.00,-,0,34.18,920.1
