STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
90,"2021-03-16,09:15",22.49,49.86,-0.005536,0,145.278,0,22.18,814
90,"2021-03-16,09:45",24.47,44.83,0.010464,0,209.167,0,22.75,814.5
90,"2021-03-16,10:00",25.59,43.74,0.015,7.5,221.115,0,22.93,814.4
90,"2021-03-16,10:30",26.15,41.39,-0.027072,5,202.997,0,23.75,814.1
90,"2021-03-16,10:45",26.5,40.1,0.016464,15,202.997,0,24.18,814
90,"2021-03-17,09:15",0,43.99,-0.001536,7.5,-,0,21.81,814.2
90,"2021-03-17,11:15",28,34.05,-0.026072,5,-,0,24.43,814.3
90,"2021-03-17,13:15",27.37,33.9,0.001928,5,-,0,27.93,813.1
90,"2021-03-17,14:45",27.78,32.78,-0.031536,5,-,0,27.18,811.4
90,"2021-03-17,15:00",28.26,30.71,-0.009536,10,-,0,27.37,811.2
90,"2021-03-17,16:45",23.62,49.45,0.024,0,-,0,25.75,811.2
90,"2021-03-17,17:45",21.67,53.57,0.01,5,-,0,25.25,810.8
90,"2021-03-17,18:00",21.78,52.88,0.008,0,-,0,25.12,811
90,"2021-03-17,18:45",20.84,55.74,0.001,0,-,0,24.75,811.3
90,"2021-03-17,19:00",20.81,54.75,-,0,129.481,0,24.62,811.6
90,"2021-03-17,19:30",20.02,54.17,-,0,89.343,0,24.25,812.1
90,"2021-03-17,19:45",19.92,53.82,-,0,151.626,0,24.12,812.1
90,"2021-03-17,20:15",19.85,53.91,-,0,136.401,0,23.87,812.4
90,"2021-03-17,20:30",19.69,54.75,-,0,165.467,0,23.81,812.5
90,"2021-03-17,22:15",19.94,55.15,-,0,101.799,0,23.31,814.1
90,"2021-03-17,23:15",19.36,56.75,-,0,191.765,0,22.93,814.6
90,"2021-03-18,00:45",17.75,62.91,-,0,224.983,0,22.37,814.6
90,"2021-03-18,1:00",17.61,63.25,-,0,263.737,0,22.37,814.5
90,"2021-03-18,20:30",19.02,64.92,-,5,129.481,0,23.81,813.1
90,"2021-03-18,21:30",18.29,72.13,-,5,136.401,0,23.31,814
90,"2021-03-18,21:45",18,71.23,-,0,111.488,0,23.25,814
90,"2021-03-18,22:15",17.84,69.17,-,0,105.952,0,23.06,814.7
90,"2021-03-18,22:30",17.78,68.93,-,0,105.952,0,22.93,814.8
90,"2021-03-18,22:45",17.79,69.17,-,0,153.01,0,22.87,814.8
90,"2021-03-18,23:15",18,-,-,0,92.111,0,22.75,815
90,"2021-03-18,23:30",18.15,66.65,-,0,143.322,0,22.68,815
90,"2021-03-18,23:45",18.06,66.81,-,10,94.879,0,22.68,815
90,"2021-03-19,00:15",18,67.48,-,0,126.713,0,22.5,814.6
90,"2021-03-19,00:30",17.69,68.66,-,0,126.713,0,22.43,814.7
90,"2021-03-19,00:45",17.79,68.2,-,0,108.72,0,22.43,814.6
90,"2021-03-19,01:15",17.87,68.69,-,0,129.481,0,22.31,814.3
90,"2021-03-19,01:30",17.54,69.52,-,5,276.194,0,22.25,814.6
90,"2021-03-19,02:15",15.91,90.64,-,0,277.578,0,22.12,814.5
90,"2021-03-19,02:30",15.71,92.66,-,0,254.048,0,22.12,814.7
90,"2021-03-19,03:15",15.52,96.75,-,0,129.481,0,21.93,814.2
90,"2021-03-19,03:30",15.41,97.23,-,0,356.389,0,21.93,814.2
90,"2021-03-19,04:15",15.87,88.82,-,0,115.64,0,21.75,813.6
90,"2021-03-19,05:15",15.66,-,-,0,114.256,0,21.43,813.6
90,"2021-03-19,06:15",15.24,78.62,-,0,101.799,0,20.93,814
90,"2021-03-19,06:30",14.68,80.61,-,0,110.104,0,20.81,814.2
90,"2021-03-19,06:45",14.71,80.47,-,0,111.488,0,20.81,814.2
90,"2021-03-19,07:15",15.29,74.97,0.009,0,-,0,20.5,814.8
90,"2021-03-19,08:15",19.52,68.5,0.03,0,-,0,20.56,815.3
90,"2021-03-19,08:30",19.31,67.72,-0.029536,0,-,0,20.68,815.5
90,"2021-03-19,09:15",21.01,65.17,0.013464,0,-,0,21.37,815.6
90,"2021-03-19,11:15",23.62,61.21,0.028,0,-,0,23.68,815.4
90,"2021-03-19,12:15",27.86,43.74,-0.020072,0,-,0,24.43,814.6
90,"2021-03-19,13:15",27.06,38.86,0.023,10,-,0,26.25,813.6
90,"2021-03-19,15:00",28.72,33.12,-0.031536,22.5,-,0,26.56,812
90,"2021-03-19,16:15",22.86,61.16,0.023,5,-,0,25.68,811.6
90,"2021-03-19,18:00",18.15,87.52,0.002,5,-,1,24.68,812.4
90,"2021-03-19,18:45",17.87,86.22,-,0,175.156,0,23.93,813.2
90,"2021-03-19,19:00",17.83,87.29,-,0,339.862,0,23.87,813.2
90,"2021-03-19,19:45",18.04,82.37,-,0,94.483,0,23.31,813.2
90,"2021-03-19,20:00",17.4,89.59,-,0,45.052,0,23.18,813.3
90,"2021-03-19,20:15",17.34,90.69,-,0,11.834,0,23.12,813.5
90,"2021-03-19,20:45",17.4,88.1,-,0,110.104,0,22.81,813.6
90,"2021-03-19,21:00",17.54,86.25,-,0,92.111,0,22.75,813.9
90,"2021-03-19,21:30",17.6,82.31,-,0,20.138,0,22.56,813.7
90,"2021-03-19,21:45",17.54,83.55,-,0,182.076,0,22.5,813.9
90,"2021-03-19,22:15",17.36,79.28,-,0,57.509,0,22.25,814.3
90,"2021-03-19,22:30",17.46,78.29,-,0,136.401,0,22.18,814.3
90,"2021-03-19,23:15",17.62,74.8,-,0,106.389,0,21.75,814.7
90,"2021-03-20,00:15",16.73,76.24,-,0,112.872,0,21.37,814.5
90,"2021-03-20,02:45",17.19,64.37,-,0,92.111,0,20.25,812.9
90,"2021-03-20,03:45",16.6,64.27,-,0,122.561,0,19.87,812.9
90,"2021-03-20,4:00",16.05,66.08,-,0,78.27,0,19.81,812.9
90,"2021-03-21,00:30",19.29,62.41,-,0,60.277,0,21.25,812.6
90,"2021-03-21,00:45",18.92,63.93,-,0,112.872,0,21.25,812.6
