STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
49,"2021-04-01,11:45",28.04,65.20,-,-,-,0,30.19,894.98
49,"2021-04-01,12:00",28.85,61.33,-,-,-,0,-,894.83
49,"2021-04-01,13:15",28.46,59.70,-,-,-,0,-,893.92
49,"2021-04-01,13:30",31.16,55.47,-,-,-,0,30.81,893.68
49,"2021-04-01,14:45",29.46,51.62,-,-,-,0,32.63,892.49
49,"2021-04-01,16:15",31.89,44.73,-,-,-,0,30.81,891.65
49,"2021-04-01,17:30",29.08,54.04,-,-,-,0,29.38,891.08
49,"2021-04-01,17:45",29.08,57.80,-,-,-,0,29.25,891.16
49,"2021-04-01,21:15",23.53,81.39,-,-,-,0,25.50,893.6
49,"2021-04-01,21:30",23.24,83.10,-,-,-,0,25.38,893.86
49,"2021-04-01,21:45",23.28,83.15,-,-,-,0,25.31,893.86
49,"2021-04-01,22:30",22.84,85.39,-,-,-,0,24.88,894.78
49,"2021-04-01,22:45",22.67,85.88,-,-,-,0,24.75,894.65
49,"2021-04-01,23:00",22.51,86.45,-,-,-,0,24.63,894.71
49,"2021-04-02,00:15",22.08,89.54,-,-,-,0,24.19,894.1
49,"2021-04-02,01:15",22.04,90.58,-,-,-,0,24.06,893.94
49,"2021-04-02,01:30",22.03,91.14,-,-,-,-,24.00,893.88
49,"2021-04-02,01:45",21.77,92.48,-,-,-,0,24.00,893.81
49,"2021-04-02,03:45",21.39,94.43,-,-,-,0,23.63,893.81
49,"2021-04-02,05:15",20.71,97.11,-,-,-,0,-,893.74
49,"2021-04-02,06:15",20.57,96.97,-,-,-,0,23.19,894.91
49,"2021-04-02,06:30",20.50,97.10,-,-,-,0,-,895.02
49,"2021-04-02,06:45",20.44,97.16,-,-,-,0,23.13,894.98
49,"2021-04-02,07:30",20.72,92.65,-,-,-,0,23.19,895.49
49,"2021-04-02,07:45",20.87,89.99,-,-,-,0,23.25,895.66
49,"2021-04-02,8:00",20.84,90.45,-,-,-,0,23.25,895.8
49,"2021-04-02,07:30",20.72,92.65,-,-,-,0,23.19,895.49
49,"2021-04-02,07:45",20.87,89.99,-,-,-,0,23.25,895.66
49,"2021-04-02,8:00",20.84,90.45,-,-,-,0,23.25,895.8
49,"2021-04-02,08:45",21.54,90.40,-,-,-,0,23.44,896.62
49,"2021-04-02,9:00",21.81,88.63,-,-,-,0,23.50,896.71
