STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
55,"2021-04-01,10:45",-,-,-,-,-,0,22.68,888.5
55,"2021-04-01,11:00",-,-,-,-,-,0,22.75,888.6
55,"2021-04-01,13:15",0.00,-,-,-,-,0,24.43,887.3
55,"2021-04-01,13:30",0.00,-,-,-,-,0,24.62,887.1
55,"2021-04-01,13:45",0.00,-,-,-,-,0,24.75,887.1
55,"2021-04-01,14:45",27.60,69.50,-,-,-,0,25.68,886.1
55,"2021-04-01,15:00",27.10,70.40,-,-,-,0,25.75,885.9
55,"2021-04-01,16:15",26.90,70.30,-,-,-,0,26.12,885.2
55,"2021-04-01,16:30",27.90,69.60,-,-,-,0,26.18,885.1
55,"2021-04-01,17:30",26.10,73.20,-,-,-,0,26.25,884.5
55,"2021-04-01,17:45",25.70,73.60,-,-,-,0,26.25,884.4
55,"2021-04-01,18:00",25.70,73.80,-,-,-,0,26.25,884.0
55,"2021-04-01,19:15",24.00,79.40,-,-,-,0,25.75,884.6
55,"2021-04-01,20:15",22.90,82.40,-,-,-,0,25.18,884.8
55,"2021-04-01,20:30",22.90,83.00,-,-,-,0,25.06,885.1
55,"2021-04-01,20:45",23.00,82.20,-,-,-,0,24.93,885.1
55,"2021-04-01,21:45",22.30,86.40,-,-,-,0,24.56,886.2
55,"2021-04-01,22:00",22.00,87.90,-,-,-,0,24.56,886.2
55,"2021-04-02,00:30",0.00,-,-,-,-,0,23.93,886.9
55,"2021-04-02,00:45",0.00,-,-,-,-,0,23.93,886.8
55,"2021-04-02,02:15",0.00,-,-,-,-,0,23.81,886.5
55,"2021-04-02,03:15",0.00,-,-,-,-,0,23.37,886.4
55,"2021-04-02,03:30",0.00,-,-,-,-,0,23.37,886.0
55,"2021-04-02,08:30",-,-,-,-,-,0,22.75,888.3
55,"2021-04-02,08:45",-,-,-,-,-,0,22.68,888.5
55,"2021-04-02,11:15",-,-,-,-,-,0,22.00,890.0
55,"2021-04-02,11:30",-,-,-,-,-,0,21.93,890.1
55,"2021-04-02,11:45",-,-,-,-,-,0,21.93,890.0
55,"2021-04-02,12:00",-,-,-,-,-,0,21.93,889.9
55,"2021-04-02,14:15",-,-,-,-,-,0,22.31,887.8
55,"2021-04-02,14:30",-,-,-,-,-,0,22.37,887.6
55,"2021-04-02,14:45",-,-,-,-,-,0,22.43,887.5
55,"2021-04-02,18:15",0.00,-,-,-,-,0,23.81,885.4
55,"2021-04-02,18:30",0.00,-,-,-,-,0,23.75,885.4
55,"2021-04-02,19:15",0.00,-,-,-,-,0,23.68,886.3
55,"2021-04-02,19:30",0.00,-,-,-,-,0,23.62,886.4
55,"2021-04-02,19:45",0.00,-,-,-,-,0,23.62,886.5
55,"2021-04-02,20:45",0.00,-,-,-,-,0,23.31,886.5
55,"2021-04-02,23:15",-,-,-,-,-,0,22.81,887.5
55,"2021-04-02,23:30",-,-,-,-,-,0,22.75,887.5
55,"2021-04-02,23:45",-,-,-,-,-,0,22.75,887.6
55,"2021-04-03,02:15",-,-,-,-,-,0,22.50,887.2
55,"2021-04-03,02:30",-,-,-,-,-,0,22.50,886.9
55,"2021-04-03,02:45",-,-,-,-,-,0,22.50,886.9
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,04:30",-,-,-,-,-,0,22.37,886.9
55,"2021-04-03,04:45",-,-,-,-,-,0,22.37,88.0
55,"2021-04-03,5:00",-,-,-,-,-,0,22.37,887.0
55,"2021-04-03,10:15",-,-,-,-,-,0,22.62,888.5
55,"2021-04-03,10:30",-,-,-,-,-,0,22.75,888.6
55,"2021-04-03,10:45",-,-,-,-,-,0,22.75,888.7
55,"2021-04-03,13:15",-,-,-,-,-,0,24.31,888.0
55,"2021-04-03,14:45",0.00,-,-,-,-,0,25.37,886.1
55,"2021-04-03,15:00",0.00,-,-,-,-,0,25.50,885.9
55,"2021-04-03,17:15",26.40,69.30,-,-,-,0,26.00,884.3
55,"2021-04-03,17:30",26.80,68.40,-,-,-,0,26.00,884.4
55,"2021-04-03,17:45",26.20,69.20,-,-,-,0,26.00,884.4
55,"2021-04-03,18:45",25.20,70.10,-,-,-,0,25.81,884.3
55,"2021-04-03,20:15",0.00,-,-,-,-,0,25.18,885.5
55,"2021-04-03,20:30",0.00,-,-,-,-,0,25.06,885.4
55,"2021-04-03,20:45",0.00,-,-,-,-,0,25.06,885.5
55,"2021-04-03,21:30",0.00,-,-,-,-,0,24.68,886.4
55,"2021-04-03,21:45",0.00,-,-,-,-,0,24.62,886.6
55,"2021-04-03,22:00",0.00,-,-,-,-,0,24.50,886.6
55,"2021-04-03,23:15",0.00,-,-,-,-,0,24.31,886.9
55,"2021-04-04,00:15",0.00,-,-,-,-,0,24.06,886.7
55,"2021-04-04,00:30",0.00,-,-,-,-,0,24.00,886.7
55,"2021-04-04,03:15",-,-,-,-,-,0,23.56,886.4
55,"2021-04-04,03:30",-,-,-,-,-,0,23.56,886.4
55,"2021-04-04,05:30",-,-,-,-,-,0,23.43,886.3
55,"2021-04-04,05:45",-,-,-,-,-,0,23.37,886.4
55,"2021-04-04,6:00",-,-,-,-,-,0,23.37,886.7
55,"2021-04-04,05:30",-,-,-,-,-,0,23.43,886.3
55,"2021-04-04,05:45",-,-,-,-,-,0,23.37,886.4
55,"2021-04-04,6:00",-,-,-,-,-,0,23.37,886.7
55,"2021-04-04,05:30",-,-,-,-,-,0,23.43,886.3
55,"2021-04-04,05:45",-,-,-,-,-,0,23.37,886.4
55,"2021-04-04,6:00",-,-,-,-,-,0,23.37,886.7
55,"2021-04-04,05:30",-,-,-,-,-,0,23.43,886.3
55,"2021-04-04,05:45",-,-,-,-,-,0,23.37,886.4
55,"2021-04-04,6:00",-,-,-,-,-,0,23.37,886.7
55,"2021-04-04,05:30",-,-,-,-,-,0,23.43,886.3
55,"2021-04-04,05:45",-,-,-,-,-,0,23.37,886.4
55,"2021-04-04,6:00",-,-,-,-,-,0,23.37,886.7
55,"2021-04-04,05:30",-,-,-,-,-,0,23.43,886.3
55,"2021-04-04,05:45",-,-,-,-,-,0,23.37,886.4
55,"2021-04-04,6:00",-,-,-,-,-,0,23.37,886.7
55,"2021-04-04,05:30",-,-,-,-,-,0,23.43,886.3
55,"2021-04-04,05:45",-,-,-,-,-,0,23.37,886.4
55,"2021-04-04,6:00",-,-,-,-,-,0,23.37,886.7
55,"2021-04-04,05:30",-,-,-,-,-,0,23.43,886.3
55,"2021-04-04,05:45",-,-,-,-,-,0,23.37,886.4
55,"2021-04-04,6:00",-,-,-,-,-,0,23.37,886.7
55,"2021-04-04,05:30",-,-,-,-,-,0,23.43,886.3
55,"2021-04-04,05:45",-,-,-,-,-,0,23.37,886.4
55,"2021-04-04,6:00",-,-,-,-,-,0,23.37,886.7
55,"2021-04-04,05:30",-,-,-,-,-,0,23.43,886.3
55,"2021-04-04,05:45",-,-,-,-,-,0,23.37,886.4
55,"2021-04-04,6:00",-,-,-,-,-,0,23.37,886.7
55,"2021-04-04,05:30",-,-,-,-,-,0,23.43,886.3
55,"2021-04-04,05:45",-,-,-,-,-,0,23.37,886.4
55,"2021-04-04,6:00",-,-,-,-,-,0,23.37,886.7
55,"2021-04-04,08:15",-,-,-,-,-,0,23.00,887.8
55,"2021-04-04,08:30",-,-,-,-,-,0,22.93,888.3
55,"2021-04-04,08:45",-,-,-,-,-,0,22.93,888.7
55,"2021-04-04,9:00",-,-,-,-,-,0,22.87,888.7
55,"2021-04-04,08:15",-,-,-,-,-,0,23.00,887.8
55,"2021-04-04,08:30",-,-,-,-,-,0,22.93,888.3
