STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
53,"2021-04-01,12:30",27.10,70.40
53,"2021-04-01,12:45",27.70,67.70
53,"2021-04-01,13:00",27.10,71.00
53,"2021-04-01,13:30",28.10,65.20
53,"2021-04-08,14:30",28.40,57.90,-,5.00,369.333,0,26.68,-
53,"2021-04-08,15:30",28.40,61.10,-,2.50,369.286,0,26.56,-
53,"2021-04-08,16:15",28.60,60.90,-,5.00,371.031,0,26.50,-
53,"2021-04-08,17:45",27.00,68.80,-,0.00,371.15,0,26.43,-
53,"2021-04-08,18:15",-,-,-,0.00,371.15,0,26.37,-
53,"2021-04-08,18:30",24.90,72.60,-,0.00,369.427,0,26.31,-
53,"2021-04-08,19:15",23.90,76.40,-,0.00,371.189,0,26.12,-
53,"2021-04-08,20:15",23.30,78.90,-,0.00,372.92,0,25.81,-
53,"2021-04-08,21:15",23.00,81.90,-,2.50,376.429,0,25.50,-
53,"2021-04-08,22:15",23.20,83.60,-,5.00,383.636,0,25.25,-
53,"2021-04-08,22:30",23.00,84.30,-,0.00,383.636,0,25.25,-
53,"2021-04-08,22:45",23.00,84.20,-,0.00,383.636,0,25.12,-
53,"2021-04-08,23:00",23.00,84.30,-,0.00,385.455,0,25.12,-
53,"2021-04-08,23:15",22.90,84.60,-,0.00,383.636,0,25.06,-
53,"2021-04-09,00:15",23.00,86.20,-,0.00,383.636,0,24.93,-
53,"2021-04-09,00:30",23.10,86.70,-,2.50,383.636,0,24.87,-
53,"2021-04-09,01:15",23.20,79.10,-,7.50,383.636,0,24.81,-
53,"2021-04-09,02:15",23.00,80.90,-,0.00,424.0,0,24.68,-
53,"2021-04-09,03:15",22.50,84.40,-,2.50,372.92,0,24.56,-
53,"2021-04-09,04:15",22.00,89.30,-,2.50,369.427,0,24.50,-
53,"2021-04-09,05:15",22.70,81.60,-,0.00,371.189,0,24.37,-
53,"2021-04-09,06:15",23.00,83.60,-,5.00,371.189,0,24.31,-
53,"2021-04-09,07:15",22.50,83.20,-,2.50,371.189,0,24.25,-
53,"2021-04-09,08:30",25.70,71.90,-,2.50,371.15,0,24.18,-
53,"2021-04-09,10:15",26.60,65.50,-,0.00,372.889,0,24.62,-
53,"2021-04-09,10:30",26.50,66.30,-,5.00,371.15,0,24.75,-
53,"2021-04-09,10:45",27.00,66.10,-,2.50,371.15,0,24.75,-
53,"2021-04-09,11:00",26.30,71.10,-,5.00,371.15,0,24.93,-
53,"2021-04-09,11:15",26.10,70.10,-,0.00,371.15,0,25.12,-
53,"2021-04-09,11:30",26.00,70.10,-,0.00,371.15,0,25.12,-
53,"2021-04-09,12:15",27.20,65.40,-,2.50,371.111,0,26.06,-
53,"2021-04-09,12:30",26.40,70.30,-,5.00,371.15,0,26.12,-
53,"2021-04-09,13:15",27.60,65.70,-,2.50,371.111,0,27.00,-
53,"2021-04-09,14:15",28.90,63.50,-,7.50,371.111,0,27.68,-
53,"2021-04-09,15:15",26.50,67.90,-,5.00,371.15,0,28.06,-
53,"2021-04-09,16:15",27.30,,-,2.50,371.071,0,28.06,-
53,"2021-04-09,17:15",26.60,65.10,-,7.50,371.111,0,27.87,-
53,"2021-04-09,17:30",26.60,63.90,-,2.50,371.15,0,27.75,-
53,"2021-04-09,17:45",26.50,64.80,-,0.00,371.15,0,27.75,-
53,"2021-04-09,18:15",25.00,69.90,-,0.00,371.189,0,27.43,-
53,"2021-04-09,19:30",23.00,80.70,-,0.00,371.189,0,26.62,-
53,"2021-04-09,19:45",22.80,81.40,-,0.00,371.189,0,26.62,-
53,"2021-04-09,21:15",22.10,81.70,-,0.00,371.189,0,25.81,-
53,"2021-04-09,22:15",22.10,82.30,-,0.00,371.189,0,25.43,-
53,"2021-04-09,23:00",22.00,82.00,-,0.00,371.189,0,25.25,-
53,"2021-04-09,23:15",21.80,84.10,-,0.00,371.189,0,25.18,-
53,"2021-04-09,23:30",21.80,83.90,-,0.00,371.189,0,25.18,-
53,"2021-04-10,00:15",20.70,89.60,-,0.00,371.189,0,24.93,-
53,"2021-04-10,00:30",20.70,89.80,-,0.00,371.189,0,24.93,-
