STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
50,"2021-04-01,12:15",27.09,67.74,0,127.94,-
50,"2021-04-01,12:30",26.69,68.42,0,127.94,-
50,"2021-04-01,12:45",27.21,67.55,0,127.94,-
50,"2021-04-01,13:15",27.54,68.99,0,85.00,-
50,"2021-04-01,13:30",26.72,67.78,0,85.00,-
50,"2021-04-07,23:15",21.01,91.02,-,-,-,0,127.94,-
50,"2021-04-08,07:15",21.33,90.15,-,-,-,0,85.00,-
50,"2021-04-08,08:15",23.87,84.15,-,-,-,0,127.94,-
50,"2021-04-12,13:15",27.53,66.58,-,-,-,0,85.00,-
50,"2021-04-12,18:15",24.15,78.08,-,-,-,0,127.94,-
50,"2021-04-14,14:30",27.32,61.99,-,-,-,0,85.00,-
50,"2021-04-14,14:45",27.50,62.23,-,-,-,0,85.00,-
50,"2021-04-14,15:15",27.78,64.39,-,-,-,0,85.00,-
50,"2021-04-23,10:15",25.03,80.40,-,-,-,0,127.94,-
50,"2021-04-29,05:15",18.58,98.27,-,-,-,0,20.50,-
50,"2021-04-29,05:30",18.67,97.87,-,-,-,0,20.31,-
50,"2021-04-29,05:45",18.58,97.66,-,-,-,0,20.38,-
50,"2021-04-29,06:15",17.95,98.32,-,-,-,0,19.69,-
50,"2021-04-29,07:15",18.64,97.81,-,-,-,0,19.94,-
50,"2021-04-29,08:15",19.97,96.07,-,-,-,0,20.25,-
50,"2021-04-29,09:15",22.05,88.67,-,-,-,0,127.94,-
50,"2021-04-29,09:30",22.13,87.41,-,-,-,0,127.94,-
50,"2021-04-29,10:45",27.38,73.05,-,-,-,0,127.94,-
50,"2021-04-29,11:15",26.53,70.81,-,-,-,0,127.94,-
50,"2021-04-29,11:30",36.12,71.12,-,-,-,0,127.94,-
50,"2021-04-29,12:15",27.66,69.88,-,-,-,0,127.94,-
50,"2021-04-29,13:15",27.80,67.55,-,-,-,0,127.94,-
50,"2021-04-29,14:15",28.06,69.40,-,-,-,0,127.94,-
50,"2021-04-29,15:15",27.45,70.12,-,-,-,0,127.94,-
50,"2021-04-29,15:30",27.38,68.51,-,-,-,0,127.94,-
50,"2021-04-29,16:15",26.86,73.57,-,-,-,0,127.94,-
50,"2021-04-29,17:15",25.49,77.39,-,-,-,0,127.94,-
50,"2021-04-29,17:30",25.23,79.14,-,-,-,0,127.94,-
50,"2021-04-29,17:45",25.18,78.66,-,-,-,0,127.94,-
50,"2021-04-29,18:15",24.54,80.33,-,-,-,0,127.,-
50,"2021-04-29,18:45",23.95,82.73,-,-,-,0,127.94,-
50,"2021-04-29,19:00",23.64,84.10,-,-,-,0,85.00,-
