STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
71,"2021-03-17,08:45",22.1,82.3,0.029,2.5,-,0,22.87,881.5
71,"2021-03-17,9:00",21.8,82.3,0.029,2.5,-,0,22.93,881.6
71,"2021-03-17,10:15",25.7,65.3,0.003464,2.5,-,0,24.5,881.9
71,"2021-03-17,10:45",25.9,64.6,0.002464,2.5,-,0,25.43,882.3
71,"2021-03-17,11:00",26.7,66.4,0.020464,0,-,0,25.62,882.1
71,"2021-03-17,11:45",28.3,58.5,0.030464,2.5,-,0,26.5,881.5
71,"2021-03-17,12:00",28.8,60.5,0.026464,0,-,0,26.62,881.5
71,"2021-03-17,12:45",23,69,0.031,5,-,0,26.56,881.4
71,"2021-03-17,13:00",21.4,78.8,0.017464,5,-,0,26.18,881.2
71,"2021-03-17,13:45",21.3,81,0.02,0,-,0,26,880.7
71,"2021-03-17,14:00",22,79.3,0.022,0,-,0,25.93,880.6
71,"2021-03-17,14:30",24.1,80.6,0.028,0,-,0,0,880
71,"2021-03-17,14:45",24.1,79.4,0.028,0,-,0,25.93,879.7
71,"2021-03-17,17:15",25.7,66.6,0.017,0,-,0,26.5,877.9
71,"2021-03-17,17:30",25.8,64.4,0.019,5,-,0,26.43,877.9
71,"2021-03-17,18:15",24.2,71.4,0.007,0,-,0,26,878.4
71,"2021-03-17,19:45",23,76.2,-,0,158.694,0,25.31,878.8
71,"2021-03-17,20:00",23,77.5,-,0,204.055,0,25.31,878.9
71,"2021-03-17,20:30",22.5,82.8,-,0,230.172,0,25.12,879.4
71,"2021-03-17,20:45",22.5,82.3,-,2.5,235.67,0,25.12,879.4
71,"2021-03-17,21:15",22,85.1,-,0,144.948,0,25,880.1
71,"2021-03-17,21:30",21.8,86.3,-,0,166.942,0,24.93,880
71,"2021-03-17,22:15",22.40,85.20,-,0.00,30.859,0,24.81,881.6
71,"2021-03-17,23:15",19.80,88.80,-,5.00,287.586,0,24.56,882.3
71,"2021-03-18,00:45",19.60,90.50,-,5.00,270.657,0,23.87,882.0
71,"2021-03-18,1:00",19.60,90.50,-,5.00,249.896,0,23.87,882.1
71,"2021-03-18,20:30",20.80,81.80,-,5.00,270.034,0,25.56,880.3
71,"2021-03-18,20:45",20.80,82.30,-,2.50,259.038,0,25.50,880.5
71,"2021-03-18,21:15",20.30,84.80,-,0.00,264.138,0,25.25,880.7
71,"2021-03-18,23:15",19.60,89.70,-,0.00,236.055,0,24.62,881.5
71,"2021-03-19,00:30",19.80,86.20,-,0.00,328.611,0,24.31,882.2
71,"2021-03-19,00:45",19.70,86.00,-,0.00,10.556,0,24.31,882.1
71,"2021-03-19,01:15",19.40,87.60,-,0.00,67.5,0,24.18,881.7
71,"2021-03-19,01:30",19.00,90.60,-,0.00,109.167,0,24.12,881.3
71,"2021-03-19,01:45",0.00,-,-,0.00,141.111,0,24.12,881.2
71,"2021-03-19,03:15",19.40,90.10,-,2.50,90.105,0,23.68,881.4
71,"2021-03-19,04:15",19.30,81.30,-,0.00,166.014,0,23.50,880.6
71,"2021-04-01,15:15",29.20,56.80,0.013464,0.00,-,0,30.00,880.4
71,"2021-04-01,16:15",27.60,61.20,0.012000,0.00,-,0,29.68,880.2
71,"2021-04-01,18:30",24.60,70.40,0.003000,5.00,-,0,27.18,880.2
71,"2021-04-01,18:45",24.60,70.50,0.004000,0.00,-,0,27.12,880.3
71,"2021-04-01,19:15",23.10,80.40,-,0.00,180.0,0,26.18,880.2
71,"2021-04-01,19:30",23.00,81.10,-,2.50,198.557,0,26.06,880.3
71,"2021-04-01,20:15",21.90,86.90,-,0.00,157.32,0,25.25,880.8
71,"2021-04-01,20:30",21.90,87.10,-,0.00,155.945,0,25.25,880.8
71,"2021-04-01,21:15",21.30,90.80,-,0.00,191.034,0,24.75,881.6
71,"2021-04-01,22:30",20.60,94.50,-,2.50,282.405,0,24.06,883.3
71,"2021-04-01,22:45",20.60,94.50,-,2.50,279.656,0,24.12,883.3
71,"2021-04-01,23:15",20.30,95.50,-,0.00,245.292,0,23.81,883.0
71,"2021-04-01,23:30",20.20,95.60,-,0.00,202.68,0,23.75,882.9
71,"2021-04-02,01:15",0.00,98.,-,0.00,219.175,0,23.37,882.1
71,"2021-04-02,03:15",0.00,,-,0.00,279.656,0,23.18,881.6
71,"2021-04-02,03:30",19.90,96.40,-,0.00,186.186,0,23.18,881.7
71,"2021-04-02,04:15",19.30,97.90,-,2.50,173.814,0,22.87,882.1
71,"2021-04-02,04:30",19.30,98.40,-,0.00,197.182,0,22.81,882.1
71,"2021-04-02,05:15",19.40,97.30,-,2.50,66.598,0,22.81,882.8
71,"2021-04-02,06:30",18.60,97.50,-,0.00,190.309,0,22.00,883.0
71,"2021-04-02,06:45",18.80,99.40,-,2.50,220.55,0,22.00,883.1
71,"2021-04-02,07:15",18.50,99.50,-,0.00,259.038,0,21.93,883.3
71,"2021-04-02,07:30",18.60,99.90,-,0.00,221.924,0,21.93,883.7
71,"2021-04-02,07:45",18.50,-,0.001000,2.50,-,0,21.93,883.7
71,"2021-04-02,09:15",18.40,-,0.002000,5.00,-,0,21.68,885.2
71,"2021-04-02,10:30",19.00,96.30,0.014000,5.00,-,0,22.00,885.8
71,"2021-04-02,10:45",19.10,98.40,0.015000,5.00,-,0,22.06,885.9
71,"2021-04-02,11:15",19.00,97.90,0.012000,7.50,-,0,22.25,885.8
71,"2021-04-02,11:30",19.30,98.50,0.032000,2.50,-,0,22.25,885.5
71,"2021-04-02,13:15",22.90,81.40,-0.0310,10.00,-,0,25.50,884.3
71,"2021-04-02,15:15",0.00,-,-0.021536,7.50,-,0,28.00,882.1
71,"2021-04-02,15:30",24.20,74.80,-0.032536,7.50,-,0,27.93,881.8
71,"2021-04-02,16:15",25.40,70.80,0.016000,5.00,-,0,27.43,881.2
71,"2021-04-02,16:30",25.50,75.40,0.016000,2.50,-,0,27.43,881.2
71,"2021-04-02,17:15",25.20,70.60,0.019000,2.50,-,0,27.50,881.0
71,"2021-04-02,18:30",24.10,75.00,0.007000,0.00,-,0,25.87,881.5
71,"2021-04-02,18:45",24.10,74.80,0.006000,2.50,-,0,25.87,881.5
71,"2021-04-02,19:15",22.40,-,-,0.00,141.379,0,25.18,882.3
71,"2021-04-02,19:30",0.00,82.20,-,0.00,7.491,0,25.12,882.4
71,"2021-04-02,20:15",21.50,87.90,-,0.00,135.326,0,24.56,882.4
71,"2021-04-02,21:45",21.20,91.40,-,0.00,226.048,0,23.93,882.7
71,"2021-04-02,22:00",21.00,91.60,-,0.00,226.048,0,23.87,882.9
71,"2021-04-02,22:30",21.30,91.20,-,0.00,180.678,0,23.68,883.2
71,"2021-04-02,23:15",20.50,95.20,-,0.00,232.921,0,23.50,883.6
71,"2021-04-02,23:30",20.30,96.40,-,0.00,120.206,0,23.43,883.9
71,"2021-04-03,00:15",20.80,95.00,-,0.00,45.979,0,23.31,883.8
71,"2021-04-03,00:30",20.80,95.50,-,0.00,45.979,0,23.31,883.7
71,"2021-04-03,01:15",0.00,95.60,-,0.00,14.364,0,23.12,883.3
71,"2021-04-03,03:15",19.70,-,-,0.00,251.724,0,22.68,883.0
71,"2021-04-03,03:30",19.70,-,-,0.00,264.138,0,22.75,883.0
71,"2021-04-03,04:15",19.30,-,-,0.00,235.172,0,22.56,882.8
71,"2021-04-03,04:30",19.30,-,-,0.00,235.172,0,22.56,882.8
71,"2021-04-03,05:45",19.20,-,-,0.00,218.621,0,22.25,883.0
71,"2021-04-03,6:00",19.20,-,-,0.00,211.724,0,22.25,882.9
71,"2021-04-03,05:45",19.20,-,-,0.00,218.621,0,22.25,883.0
71,"2021-04-03,6:00",19.20,-,-,0.00,211.724,0,22.25,882.9
71,"2021-04-03,05:45",19.20,-,-,0.00,218.621,0,22.25,883.0
71,"2021-04-03,6:00",19.20,-,-,0.00,211.724,0,22.25,882.9
71,"2021-04-03,06:30",19.50,-,-,0.00,210.345,0,22.25,883.1
71,"2021-04-03,06:45",19.40,-,-,0.00,170.345,0,22.25,883.3
71,"2021-04-03,07:15",19.80,98.50,0.004000,0.00,181.361,0,22.18,883.4
71,"2021-04-03,07:30",20.40,97.50,0.008000,0.00,213.103,0,22.25,883.4
71,"2021-04-03,08:15",22.40,87.80,0.021000,2.50,222.759,0,22.75,884.0
71,"2021-04-03,08:30",22.40,87.70,0.022000,0.00,232.414,0,22.75,884.0
71,"2021-04-03,09:15",24.00,81.20,-0.020536,0.00,243.448,0,23.87,884.1
71,"2021-04-03,10:30",26.30,67.80,0.023464,0.00,174.444,0,27.00,884.0
71,"2021-04-03,10:45",26.80,69.90,0.031000,0.00,88.333,0,27.25,884.1
71,"2021-04-03,11:15",27.00,64.30,0.024000,0.00,150.833,0,27.87,883.9
71,"2021-04-03,11:30",26.90,65.00,-0.031536,2.50,96.263,0,27.93,883.8
71,"2021-04-03,13:45",22.20,91.70,0.003000,2.50,50.345,0,27.81,882.6
71,"2021-04-03,14:00",17.70,99.70,0.004000,7.50,312.646,2,25.93,882.6
71,"2021-04-03,14:30",18.90,-,0.008000,2.50,15.739,0,23.56,882.0
71,"2021-04-03,14:45",20.00,-,0.009000,0.00,345.636,0,23.68,881.7
71,"2021-04-03,15:15",21.30,99.10,0.029000,0.00,207.586,0,24.37,880.9
71,"2021-04-03,15:30",21.60,95.80,-0.030536,0.00,185.442,0,24.68,880.5
71,"2021-04-03,16:15",26.70,68.20,0.020000,2.50,235.172,0,27.06,879.7
71,"2021-04-03,16:30",27.50,67.40,0.020000,2.50,225.517,0,27.06,879.7
71,"2021-04-03,17:15",26.20,70.60,0.012000,2.50,158.547,0,27.56,880.2
71,"2021-04-03,18:30",0.00,73.70,0.005000,0.00,149.655,0,26.25,880.2
71,"2021-04-03,18:45",24.50,75.20,0.004000,0.00,173.103,0,26.06,880.3
71,"2021-04-03,19:15",22.90,80.40,-,0.00,70.722,0,25.37,881.2
71,"2021-04-03,19:30",22.80,80.80,-,0.00,157.931,0,25.18,881.3
71,"2021-04-03,20:15",22.60,80.40,-,0.00,151.821,0,24.62,881.8
71,"2021-04-03,22:30",21.70,88.80,-,0.00,272.784,0,23.81,883.2
71,"2021-04-03,22:45",21.80,89.20,-,0.00,273.793,0,23.81,883.1
71,"2021-04-03,23:15",21.50,90.80,-,0.00,70.722,0,23.75,882.9
71,"2021-04-03,23:30",21.60,90.10,-,0.00,70.722,0,23.75,882.8
71,"2021-04-04,00:15",21.40,92.40,-,0.00,121.581,0,23.62,882.6
71,"2021-04-04,01:45",20.60,96.30,-,2.50,287.586,0,23.37,8.0
71,"2021-04-04,02:30",20.80,94.00,-,0.00,239.31,0,23.18,882.5
71,"2021-04-04,02:45",20.50,95.60,-,2.50,257.241,0,23.12,882.3
71,"2021-04-04,03:30",20.20,97.80,-,0.00,232.414,0,23.00,881.9
71,"2021-04-04,03:45",20.20,98.20,-,0.00,225.517,0,23.00,881.9
71,"2021-04-04,04:15",20.40,96.80,-,0.00,145.517,0,22.93,881.9
71,"2021-04-04,05:45",19.90,99.70,-,0.00,193.793,0,22.75,882.8
71,"2021-04-04,6:00",20.10,99.20,-,0.00,180.0,0,22.75,882.9
71,"2021-04-04,05:45",19.90,99.70,-,0.00,193.793,0,22.75,882.8
71,"2021-04-04,6:00",20.10,99.20,-,0.00,180.0,0,22.75,882.9
71,"2021-04-04,05:45",19.90,99.70,-,0.00,193.793,0,22.75,882.8
71,"2021-04-04,6:00",20.10,99.20,-,0.00,180.0,0,22.75,882.9
71,"2021-04-04,06:30",20.10,92.30,-,0.00,123.448,0,22.68,883.3
71,"2021-04-04,06:45",19.80,94.00,-,2.50,180.678,0,22.62,883.3
71,"2021-04-04,07:15",19.40,96.80,0.001000,0.00,119.31,0,22.56,883.5
71,"2021-04-04,07:30",19.50,94.20,0.003000,2.50,104.138,0,22.50,883.6
71,"2021-04-04,07:45",19.50,94.10,0.003000,2.50,77.931,0,22.50,883.6
71,"2021-04-04,08:15",20.10,94.50,0.005000,2.50,106.897,0,22.68,884.6
71,"2021-04-04,08:30",20.10,94.30,0.005000,0.00,64.138,0,22.62,884.0
71,"2021-04-04,09:15",18.90,-,0.007000,0.00,47.82,0,21.87,884.4
71,"2021-04-04,10:30",22.30,89.30,-0.031536,5.00,119.31,0,23.87,885.2
71,"2021-04-04,10:45",23.10,84.30,-0.006536,5.00,173.103,0,24.18,885.1
71,"2021-04-04,11:30",25.50,75.90,-0.030072,0.00,186.228,0,26.56,884.8
71,"2021-04-04,11:45",26.00,74.30,0.027464,0.00,172.388,0,26.62,884.8
71,"2021-04-04,12:15",26.90,70.30,0.000464,2.50,189.722,0,27.93,884.4
71,"2021-04-04,12:30",25.60,69.70,-0.026536,5.00,106.389,0,28.12,884.2
71,"2021-04-04,13:45",26.40,64.30,0.031464,5.00,87.958,0,30.00,882.4
71,"2021-04-04,14:00",27.40,58.60,-0.022072,2.50,234.671,0,30.37,882.1
71,"2021-04-04,14:30",0.00,53,-0.029072,2.50,220.278,0,31.00,881.3
71,"2021-04-04,14:45",29.00,56.80,-0.031072,0.00,105.952,0,31.18,881.0
71,"2021-04-04,15:30",27.80,60.10,0.026000,2.50,117.024,0,31.25,880.0
71,"2021-04-04,15:45",28.30,58.40,0.000464,5.00,218.062,0,31.25,880.0
71,"2021-04-04,16:15",28.50,56.60,0.012000,5.00,210.556,0,31.00,879.4
71,"2021-04-04,17:15",27.00,56.80,-0.026536,2.50,198.685,0,29.75,879.5
