STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
74,"2021-03-17,12:15",0,-,0.009464,5,-,0,26.87,-
74,"2021-03-17,13:15",0,-,0.023,0,-,0,24.31,-
74,"2021-03-17,14:15",0,-,0.018,0,-,0,25.12,-
74,"2021-03-17,17:30",25.70,65.80,0.019000,2.50,-,0,25.75,-
74,"2021-03-17,17:45",26.00,66.10,0.018000,0.00,-,0,25.68,-
74,"2021-03-17,18:15",24.60,71.80,0.006000,0.00,-,0,25.50,-
74,"2021-03-17,18:30",24.20,0.00,0.003000,0.00,-,0,25.43,-
74,"2021-03-17,20:15",0.00,-,-,0.00,58.082,0,24.68,-
74,"2021-03-17,21:30",0.00,-,-,0.00,287.904,0,24.25,-
74,"2021-03-18,17:15",0.00,-,0.025000,0.00,-,0,27.87,-
74,"2021-03-22,15:15",0.024000,0.00,-,0,23.06,-
74,"2021-03-22,15:30",0.025000,0.00,-,0,23.12,-
74,"2021-03-22,16:30",0.023000,0.00,-,0,23.75,-
74,"2021-03-22,16:45",0.018000,0.00,-,0,23.81,-
74,"2021-03-22,17:00",0.016000,0.00,-,0,23.81,-
74,"2021-03-22,17:45",0.010000,0,-,0,23.81,-
74,"2021-03-22,18:00",0.009000,0.00,-,0,23.75,-
74,"2021-03-22,19:15",-,0.00,149.742,0,23.31,-
74,"2021-03-22,19:30",-,0.00,127.601,0,23.31,-
74,"2021-03-22,22:30",-,0.00,51.478,0,22.25,-
74,"2021-03-22,22:45",-,0.00,80.0,0,22.18,-
74,"2021-03-22,23:00",-,0.00,88.591,0,22.18,-
74,"2021-03-22,23:45",-,0.00,239.794,0,22.06,-
74,"2021-03-23,00:45",-,0.00,153.196,0,21.87,-
74,"2021-03-23,1:00",-,0.00,116.082,0,21.81,-
74,"2021-03-23,20:30",-,0.00,62.192,0,21.06,-
74,"2021-03-23,20:45",-,0.00,351.233,0,20.93,-
74,"2021-03-23,21:00",-,0.00,78.63,0,20.93,-
74,"2021-03-24,00:15",-,0.00,84.11,0,22.00,-
74,"2021-03-24,00:30",-,0.00,84.11,0,22.12,-
74,"2021-03-24,02:30",-,0.00,113.333,0,21.75,-
74,"2021-03-24,02:45",-,0.00,166.301,0,21.68,-
74,"2021-03-24,3:00",-,0.00,166.301,0,21.50,-
74,"2021-04-01,11:30",-,-,0.012320,0.00,-,0,25.62,-
74,"2021-04-01,11:45",-,-,0.017320,0.00,-,0,25.81,-
74,"2021-04-01,13:15",28.20,63.50,-,-,-,0,26.81,-
74,"2021-04-01,14:15",29.00,61.70,0.022464,2.50,-,0,26.75,-
74,"2021-04-01,14:45",28.70,67.60,0.012464,0.00,-,0,26.93,-
