STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
78,"2021-03-17,09:45",25.5,62.1,0.015,5,-,0,25.18,891.4
78,"2021-03-17,10:00",26.4,59.1,0.016,5,-,0,25.31,891.5
78,"2021-03-17,10:30",28,54.8,0.013464,0,-,0,26.31,891.3
78,"2021-03-17,10:45",29.7,50,0.018464,10,-,0,27.06,891.2
78,"2021-03-17,11:00",29.5,50.8,0.019464,2.5,-,0,27.37,891.3
78,"2021-03-17,11:30",31,44.9,0.030464,5,-,0,29.56,891
78,"2021-03-17,11:45",29.2,46.5,0.019,10,-,0,30,890.9
78,"2021-03-17,12:30",31.7,40.4,-0.026072,10,-,0,32.87,890.4
78,"2021-03-17,12:45",34.1,36.1,-0.023072,0,-,0,33.25,890.3
78,"2021-03-17,12:30",31.7,40.4,-0.026072,10,-,0,32.87,890.4
78,"2021-03-17,13:30",32.3,38.5,-0.009072,15,-,0,34.81,889
78,"2021-03-17,13:45",32,37.7,-0.023072,10,-,0,35,888.6
78,"2021-03-17,14:00",33,36.8,-0.021072,10,-,0,35.06,888.6
78,"2021-03-17,14:30",30.8,39,0.008,0,-,0,34.12,887.8
78,"2021-03-17,14:45",29.8,47.9,0.01,15,-,0,34,887.8
78,"2021-03-17,15:30",31.7,41.8,0.020464,5,-,0,32.31,886.6
78,"2021-03-17,15:45",31.9,40,0.004464,10,-,0,32.68,886.7
78,"2021-03-17,17:15",29.8,46.2,-0.030536,10,-,0,31.12,886.3
78,"2021-03-17,17:30",27.9,51.1,0.011,15,-,0,31.06,886.4
78,"2021-03-17,17:45",27.5,50.6,0.012,15,-,0,31,886.3
78,"2021-03-17,20:15",22.8,71.6,-,5,37.732,0,28.56,887.8
78,"2021-03-17,20:30",22.9,71.4,-,5,32.234,0,28.43,887.7
78,"2021-03-17,21:15",22.7,72.4,-,5,1.993,0,28,888.4
78,"2021-03-17,23:15",21.7,79.3,-,0,353.883,0,27.06,891
78,"2021-03-18,00:15",21.7,79.1,-,5,333.265,0,26.75,891.5
78,"2021-03-18,02:45",19.5,89.4,-,0,316.77,0,25.75,891.6
78,"2021-03-18,3:00",19.6,89,-,0,26.735,0,25.68,891.4
78,"2021-03-19,00:30",18.5,97.8,-,0,242.543,0,25.5,890.3
78,"2021-03-19,00:45",18.7,97.1,-,0,216.426,0,25.43,890.3
78,"2021-03-19,01:30",18.6,94.9,-,0,162.818,0,25.12,890.2
78,"2021-03-19,01:45",19.1,93.3,-,0,105.086,0,25.12,890.2
78,"2021-03-19,03:15",18.8,94,-,0,217.801,0,24.56,889.4
78,"2021-03-19,03:30",18.9,93.5,-,0,142.199,0,24.5,889.4
78,"2021-03-19,03:45",18.7,94.8,-,0,153.196,0,24.43,889.6
78,"2021-03-19,09:15",23.2,83.9,0.012,10,-,0,24.31,892.9
78,"2021-03-19,10:15",26.6,66.4,0.015,10,-,0,25.12,893.4
78,"2021-03-19,11:45",29.5,54.6,0.027464,2.5,-,0,29.62,891.9
78,"2021-03-19,12:45",30.5,48.3,-0.024072,0,-,0,32.18,890.9
78,"2021-03-19,13:00",30.7,47.9,0.031464,0,-,0,32.87,890.7
78,"2021-03-19,14:45",30.4,47.9,0.026,7.5,-,0,33.75,888.3
78,"2021-03-19,15:45",25.2,68.1,0.012,10,-,0,31.43,888.1
78,"2021-03-19,16:00",25.2,66.8,0.011,5,-,0,31.37,888.2
78,"2021-03-19,16:30",24.1,67.8,0.005,5,-,0,30.56,887.7
78,"2021-03-19,16:45",0,68.5,0.005,5,-,0,30.31,887.6
78,"2021-03-19,17:00",24.3,67.7,0.006,5,-,0,30.25,887.6
78,"2021-03-19,17:30",25.3,64.1,0.013,0,-,0,29.81,887.8
78,"2021-03-19,17:45",25.8,61.8,0.013,0,-,0,29.75,887.8
78,"2021-03-19,18:30",25.2,60.4,0.003,7.5,-,0,29.31,888.9
78,"2021-03-19,18:45",24.8,61.4,0.001,15,-,0,29.18,888.9
78,"2021-03-19,19:30",23.3,69,-,5,197.182,0,28.5,889
78,"2021-03-19,19:45",23.1,70.3,-,5,194.433,0,28.43,889.2
78,"2021-03-19,22:15",21.4,80,-,0,175.189,0,27,889.8
78,"2021-03-19,22:30",21.1,80.7,-,0,201.306,0,26.93,889.7
78,"2021-03-19,23:15",19.6,87.9,-,0,303.024,0,26.37,890.3
78,"2021-03-19,23:30",19.7,87.8,-,0,303.024,0,26.25,890.4
78,"2021-03-20,00:15",18.9,89.1,-,0,254.914,0,25.87,890.4
78,"2021-03-20,00:30",19.8,86.3,-,0,259.038,0,25.81,890.5
78,"2021-03-20,01:15",21,81.2,-,0,300,0,25.62,889.9
78,"2021-03-20,02:15",0,76.3,-,0,202.68,0,25.31,889.3
78,"2021-03-20,03:15",21,79.1,-,0,210.345,0,25,888.9
78,"2021-03-20,04:15",20.9,81.8,-,5,218.621,0,24.81,889.1
78,"2021-03-20,06:45",19.7,88,-,5,262.759,0,24.56,889.5
78,"2021-03-20,7:00",19.5,89.3,-,0,276.552,0,24.5,889.5
78,"2021-03-21,03:30",20.9,72.2,-,0,311.034,0,26.56,886.7
78,"2021-03-21,03:45",21.1,72.2,-,0,323.448,0,26.5,886.7
78,"2021-03-21,4:00",21.2,72,-,2.5,335.862,0,26.5,886.7
78,"2021-03-22,00:45",20,88.4,-,2.5,312.646,0,25.12,889.3
78,"2021-03-22,1:00",20.6,85.2,-,7.5,331.724,0,25,889.3
78,"2021-03-22,20:45",26.1,58.6,-,0,324.828,0,29.37,888.7
78,"2021-03-22,21:00",25.4,62.3,-,0,293.103,0,29.25,888.8
78,"2021-03-22,22:30",23.7,74.5,-,15,307.148,0,28.06,890.7
78,"2021-03-22,22:45",23.3,76.7,-,7.5,314.021,0,27.93,890.9
78,"2021-03-22,23:00",23.2,77.1,-,2.5,316.77,0,27.8,890.9
78,"2021-03-23,00:30",21.8,81.7,-,2.5,305.773,0,27,890.7
78,"2021-03-23,00:45",21.8,81,-,2.5,311.271,0,26.93,890.7
78,"2021-03-23,02:15",20.3,85.5,-,5,290.653,0,26.18,890
78,"2021-03-23,02:30",20,87,-,0,303.024,0,26.06,889.8
78,"2021-03-23,02:45",-,0,301.379,,,,,
78,"2021-03-23,03:15",19.9,87.1,-,0,283.448,0,25.75,889.4
78,"2021-03-23,03:30",19.8,86.5,-,0,323.643,0,25.68,889.5
78,"2021-03-23,03:45",19.8,86.5,,,,,,
78,"2021-03-23,05:15",19.6,86.6,-,0,296.151,0,25.12,889.7
78,"2021-03-23,05:30",19.2,88.7,-,0,271.409,0,25.06,889.9
78,"2021-03-23,06:15",18.4,92.2,-,0,139.45,0,24.75,890.5
78,"2021-03-23,08:15",20.9,84.7,0.01,5,-,0,24.62,892.2
78,"2021-03-23,08:30",20.9,84.2,,,,,,
78,"2021-03-23,09:15",25.6,67.4,0.013,0,-,0,25,892.9
78,"2021-03-23,10:15",27.5,58.1,-0.017536,0,-,0,26.12,893.4
78,"2021-03-23,12:15",30.2,50.9,-0.009536,10,-,0,31.62,892.1
78,"2021-03-23,14:15",32.4,38.3,0.031464,17.5,-,0,32.25,-
78,"2021-03-23,15:15",32.5,36.8,0.010464,22.5,-,0,34.06,888.5
78,"2021-03-23,16:45",32.2,36.3,-0.025536,7.5,-,0,33.87,887.9
78,"2021-03-23,17:00",32.3,35.9,-0.029536,12.5,-,0,33.81,887.8
78,"2021-03-23,17:45",31.5,37.2,0.016,12.5,-,0,33.56,887.8
78,"2021-03-23,18:30",29.9,41,0.004,0,-,0,32.5,888.3
78,"2021-03-23,18:45",29,43.4,0.002,5,-,0,32.18,888.4
78,"2021-03-23,19:00",28.8,44.2,0.001,5,-,0,32.06,888.4
78,"2021-03-23,20:30",25.6,51.9,-,0,311.034,0,30.06,888.6
78,"2021-03-23,20:45",25.4,51.2,-,0,309.897,0,29.81,888.9
78,"2021-03-24,00:15",24.3,51.1,-,5,311.271,0,27.37,890.9
78,"2021-03-24,00:30",22.7,65.1,-,2.5,300.275,0,27.18,891.1
78,"2021-03-24,01:15",21.9,72.4,-,0,327.766,0,26.81,890.8
78,"2021-03-24,01:30",21.7,73.7,-,5,326.392,0,26.68,890.7
78,"2021-03-24,02:15",21,77.2,-,7.5,300.275,0,26.31,890.3
78,"2021-03-24,02:30",21.1,76.7,-,10,322.268,0,26.31,890.2
78,"2021-03-24,03:15",20.1,81.2,-,5,289.278,0,25.87,890.1
78,"2021-03-24,03:30",20,81.7,-,5,269.655,0,25.81,890
78,"2021-03-24,04:15",19.5,84.1,-,0,318.144,0,25.43,890
78,"2021-03-24,04:30",19.5,84,-,2.5,300.275,0,25.43,890
78,"2021-03-24,06:15",19.4,84.9,-,0,320.69,0,24.68,890.6
78,"2021-03-24,07:15",19.1,85.4,0.003,0,-,0,24.37,891.2
78,"2021-03-24,08:15",22.8,75.8,0.012,2.5,-,0,24.5,892.1
78,"2021-03-24,09:15",26.2,59.6,0.014,5,-,0,25.18,892.8
78,"2021-04-01,12:15",29.7,51.4,-0.029072,0,-,0,29.75,892.1
78,"2021-04-01,12:30",30.1,49.4,0.0104,10,-,0,30.06,892
78,"2021-04-01,13:15",30.3,47.9,-0.018072,20,-,0,31.37,891.2
78,"2021-04-01,14:15",31.8,42.3,0.032,10,-,0,32.06,890.2
78,"2021-04-01,14:30",31.9,42.7,-0.023072,22.5,-,0,32.18,890.2
78,"2021-04-01,15:15",31.9,40,0.019464,20,-,0,33.37,889.5
78,"2021-04-01,16:15",31.8,41.5,-0.007536,10,-,0,34.12,888.6
78,"2021-04-01,17:15",31.6,42.8,-0.031536,5,-,0,33.68,-
78,"2021-04-01,18:15",30.5,45.9,0.01,12.5,-,0,32.81,888.1
78,"2021-04-01,19:15",27.6,54.9,-,5,297.241,0,31.12,888.2
78,"2021-04-01,20:45",25.1,62.1,-,5,84.828,0,29.18,890.3
78,"2021-04-01,21:00",24.6,64.5,-,5,98.213,0,28.93,890.4
78,"2021-04-01,21:45",23.5,67.9,-,0,128.454,0,28.25,891.4
78,"2021-04-01,22:00",23.5,68.7,-,12.5,18.889,0,28.12,891.2
78,"2021-04-01,22:45",0,71.6,-,12.5,135.326,0,27.56,892
78,"2021-04-01,23:00",23,71.7,-,0,164.192,0,27.5,891.9
78,"2021-04-01,23:30",22.7,-,-,5,213.677,0,27.12,891.9
78,"2021-04-01,23:45",22.8,69.6,-,2.5,147.698,0,27.12,891.9
78,"2021-04-02,00:30",21.1,83.5,-,0,252.165,0,26.5,891.1
78,"2021-04-02,00:45",21,82.9,-,0,290.653,0,26.37,891.2
78,"2021-04-02,01:30",21.5,79,-,5,338.763,0,26,891.6
78,"2021-04-02,03:15",21.7,77.4,-,0,61.379,0,25.37,891.3
78,"2021-04-02,03:30",21.2,81.1,-,0,47.586,0,25.25,891.2
78,"2021-04-02,04:15",20,88.3,-,0,135.862,0,25,891.3
78,"2021-04-02,04:30",19.8,88.7,-,0,135.862,0,24,891.3
78,"2021-04-02,05:15",19.5,90.6,-,0,137.241,0,24.62,891.8
78,"2021-04-02,05:30",19.2,92,-,0,131.724,0,24.62,891.6
78,"2021-04-02,06:15",19.6,90.8,-,0,109.655,0,24.31,892.2
78,"2021-04-02,06:30",19.5,91.3,-,0,57.241,0,24.31,892.2
78,"2021-04-02,07:15",20.1,88.3,0.004,0,-,0,24,893
