STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
86,"2021-03-15,08:01:48",25.00,61.50,0.020000,0.00,116.082,0,26.81,891.0
86,"2021-03-15,08:01:48",25.00,61.50,0.020000,0.00,116.082,0,26.81,891.0
86,"2021-03-15,08:01:48",25.00,61.50,0.020000,0.00,116.082,0,26.81,891.0
86,"2021-03-15,08:01:48",25.00,61.50,0.020000,0.00,116.082,0,26.81,891.0
86,"2021-03-16,22:45",22.00,72.90,-,0.00,96.438,0,28.31,889.9
86,"2021-03-17,12:30",30.60,39.00,-0.028536,10.00,-,0,32.75,890.9
86,"2021-03-17,12:45",31.80,37.10,-,20.00,82.778,0,32.81,890.8
86,"2021-03-17,12:30",30.60,39.00,-0.028536,10.00,-,0,32.75,890.9
86,"2021-03-17,13:30",30.10,41.50,-,15.00,57.241,0,34.75,889.8
86,"2021-03-17,13:45",31.80,38.80,-,10.00,57.509,0,34.81,889.5
86,"2021-03-17,14:30",32.60,35.30,-0.009536,0.00,-,0,35.68,888.5
86,"2021-03-17,14:45",32.50,35.00,-0.009536,5.00,-,0,35.68,888.5
86,"2021-03-17,17:30",29.50,49.40,-,15.00,271.034,0,36.06,887.0
86,"2021-03-17,17:45",30.40,47.20,0.028000,0.00,-,0,35.93,887.0
86,"2021-03-17,18:30",28.80,51.40,0.008000,5.00,-,0,35.12,887.3
86,"2021-03-17,19:30",26.50,58.10,-,5.00,242.543,0,33.81,888.1
86,"2021-03-17,20:30",24.40,66.20,-,5.00,316.77,0,32.37,888.7
86,"2021-03-17,22:30",23.50,68.80,-,0.00,253.54,0,30.06,891.6
86,"2021-03-17,23:30",24.00,66.80,-,0.00,228.797,0,29.31,892.0
86,"2021-03-17,23:45",24.00,66.90,-,0.00,228.797,0,29.31,892.0
86,"2021-03-22,15:15",29.00,56.50,-0.018536,5.00,-
86,"2021-03-22,15:30",29.50,54.10,-0.019536,0.00,-
86,"2021-03-22,19:30",25.40,68.10,-,0.00,290.653
86,"2021-03-22,19:45",25.10,68.50,-,0.00,259.038
86,"2021-03-22,22:30",23.00,74.20,-,0.00,186.849
86,"2021-03-22,22:45",23.00,74.20,-,0.00,186.849
86,"2021-03-23,00:15",24.00,63.50,-,0.00,121.581
86,"2021-03-23,01:15",23.40,71.70,-,5.00,169.691
86,"2021-03-23,01:30",23.30,72.90,-,5.00,80.344
86,"2021-03-23,01:45",23.20,73.10,-,0.00,109.21
86,"2021-03-23,02:45",22.30,75.70,-,0.00,115.616
86,"2021-03-23,3:00",21.70,77.80,-,0.00,78.63
86,"2021-03-24,00:15",25.30,43.50,-,5.00,98.213
86,"2021-03-24,00:30",25.00,44.70,-,0.00,94.089
86,"2021-03-24,01:45",25.40,44.70,-,10.00,55.601
86,"2021-03-24,2:00",25.80,44.00,-,10.00,74.845
86,"2021-04-01,08:15",0.00,-,0.028000,7.50,-,-,-,-
86,"2021-04-01,08:30",0.00,-,0.030000,20.00,-,-,-,-
86,"2021-04-01,13:30",31.70,43.70,-,20.00,116.111,-,-,-
86,"2021-04-01,13:45",31.10,43.60,-,15.00,84.167,-,-,-
86,"2021-04-01,19:15",23.20,80.00,-,5.00,101.918,-,-,-
86,"2021-04-01,19:30",22.10,84.80,-,10.00,349.863,-,-,-
