STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
57,"2021-04-01,11:15",31.75,-,0.000016,-,89.231,-,-,-
57,"2021-04-01,11:30",31.87,-,0,-,73.846,-,-,-
57,"2021-04-01,13:15",33.43,-,0,-,57.22,-,-,-
57,"2021-04-01,15:15",36.87,-,0,-,104.715,-,-,-
57,"2021-04-01,16:30",35.68,-,0,-,66.822,-,-,-
57,"2021-04-01,16:45",32.87,-,0,-,86.464,-,-,-
57,"2021-04-01,18:00",34.25,-,0,-,70.769,-,-,-
57,"2021-04-01,19:30",19.81,-,0,-,-20,-,-,-
57,"2021-04-01,19:45",18.87,-,0,-,172.701,-,-,-
57,"2021-04-01,20:00",18.62,-,0,-,-20,-,-,-
57,"2021-04-01,21:30",18.43,-,0,-,91.698,-,-,-
57,"2021-04-01,21:45",18.43,-,0,-,106.792,-,-,-
57,"2021-04-01,23:30",17.37,-,0,-,118.403,-,-,-
57,"2021-04-01,23:45",17.68,-,0,-,135.385,-,-,-
57,"2021-04-02,01:15",18.5,-,0,-,-20,-,-,-
57,"2021-04-02,01:30",18.5,-,0,-,-20,-,-,-
57,"2021-04-02,02:30",18.5,-,0,-,147.547,-,-,-
57,"2021-04-02,02:45",lwg-10m,-,0,-,161.132,-,-,-
57,"2021-04-02,3:00",19.43,-,0,-,159.623,-,-,-
57,"2021-04-02,02:30",18.5,-,0,-,147.547,-,-,-
57,"2021-04-02,02:45",lwg-10m,-,0,-,161.132,-,-,-
57,"2021-04-02,3:00",19.43,-,0,-,159.623,-,-,-
57,"2021-04-02,02:30",18.5,-,0,-,147.547,-,-,-
57,"2021-04-02,02:45",lwg-10m,-,0,-,161.132,-,-,-
57,"2021-04-02,3:00",19.43,-,0,-,159.623,-,-,-
57,"2021-04-02,04:15",20.75,-,0,-,143.019,-,-,-
57,"2021-04-02,05:45",17.18,-,0,-,-20,-,-,-
57,"2021-04-02,07:30",17.31,-,0,-,192.928,-,-,-
57,"2021-04-02,07:45",17.5,-,0,-,217.548,-,-,-
57,"2021-04-02,8:00",18.06,-,0,-,-20,-,-,-
57,"2021-04-02,07:30",17.31,-,0,-,192.928,-,-,-
57,"2021-04-02,07:45",17.5,-,0,-,217.548,-,-,-
57,"2021-04-02,8:00",18.06,-,0,-,-20,-,-,-
57,"2021-04-02,07:30",17.31,-,0,-,192.928,-,-,-
57,"2021-04-02,07:45",17.5,-,0,-,217.548,-,-,-
57,"2021-04-02,8:00",18.06,-,0,-,-20,-,-,-
57,"2021-04-02,07:30",17.31,-,0,-,192.928,-,-,-
57,"2021-04-02,07:45",17.5,-,0,-,217.548,-,-,-
57,"2021-04-02,8:00",18.06,-,0,-,-20,-,-,-
57,"2021-04-02,07:30",17.31,-,0,-,192.928,-,-,-
57,"2021-04-02,07:45",17.5,-,0,-,217.548,-,-,-
57,"2021-04-02,8:00",18.06,-,0,-,-20,-,-,-
57,"2021-04-02,07:30",17.31,-,0,-,192.928,-,-,-
57,"2021-04-02,07:45",17.5,-,0,-,217.548,-,-,-
57,"2021-04-02,8:00",18.06,-,0,-,-20,-,-,-
57,"2021-04-02,07:30",17.31,-,0,-,192.928,-,-,-
57,"2021-04-02,07:45",17.5,-,0,-,217.548,-,-,-
57,"2021-04-02,8:00",18.06,-,0,-,-20,-,-,-
57,"2021-04-02,07:30",17.31,-,0,-,192.928,-,-,-
57,"2021-04-02,07:45",17.5,-,0,-,217.548,-,-,-
57,"2021-04-02,8:00",18.06,-,0,-,-20,-,-,-
57,"2021-04-02,09:30",18.62,-,0,-,-20,-,-,-
57,"2021-04-02,09:45",18.81,-,0,-,293.725,-,-,-
57,"2021-04-02,10:00",18.62,-,0,-,-20,-,-,-
57,"2021-04-02,13:15",18,-,0,-,-20,-,-,-
57,"2021-04-02,13:30",18.12,-,0,-,-20,-,-,-
57,"2021-04-02,13:45",18.43,-,0.000016,-,-20,-,-,-
57,"2021-04-02,14:00",18.87,-,0,-,-20,-,-,-
57,"2021-04-02,15:30",26.18,-,0,-,237.576,-,-,-
57,"2021-04-02,15:45",26.87,-,0.000016,-,283.03,-,-,-
57,"2021-04-02,17:30",28.06,-,0,-,246.16,-,-,-
57,"2021-04-02,17:45",30.87,-,0,-,249.697,-,-,-
57,"2021-04-02,19:30",17.87,-,0,-,340.755,-,-,-
57,"2021-04-02,19:45",17.43,-,0,-,296.981,-,-,-
57,"2021-04-02,21:15",16.75,-,0,-,34.34,-,-,-
57,"2021-04-03,00:15",17.75,-,0,-,216.981,-,-,-
57,"2021-04-03,01:15",16.31,-,0,-,179.245,-,-,-
57,"2021-04-03,01:30",16.25,-,0,-,129.434,-,-,-
57,"2021-04-03,03:15",16.68,-,0,-,229.057,-,-,-
57,"2021-04-03,04:45",16.12,-,0,-,269.811,-,-,-
57,"2021-04-03,06:15",16.37,-,0,-,-20,-,-,-
57,"2021-04-03,06:30",16.37,-,0,-,296.981,-,-,-
57,"2021-04-03,06:45",16.5,-,0,-,230.566,-,-,-
57,"2021-04-03,08:15",17.87,-,0,-,230.566,-,-,-
57,"2021-04-03,08:30",17.93,-,0,-,198.868,-,-,-
57,"2021-04-03,08:45",18.31,-,0,-,213.962,-,-,-
57,"2021-04-03,10:15",27,-,0,-,126.008,-,-,-
