STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
72,"2021-03-15,02:32:32",22.3,87.4,0,25.81,880.6,,,
72,"2021-03-15,02:32:32",22.3,87.4,0,25.81,880.6,,,
72,"2021-03-15,02:32:32",22.3,87.4,0,25.81,880.6,,,
72,"2021-03-15,02:32:32",22.3,87.4,0,25.81,880.6,,,
72,"2021-03-17,10:15",26.3,62.9,0.020248,2.5,-,0,25.12,883.7
72,"2021-03-17,10:45",27.1,64.8,0.015248,0,-,0,26.81,883.9
72,"2021-03-17,11:30",27.7,62.1,0.015248,2.5,-,0,28.75,883.6
72,"2021-03-17,11:45",27.5,63.3,0.017248,5,-,0,29.18,883.5
72,"2021-03-17,11:30",27.7,62.1,0.015248,2.5,-,0,28.75,883.6
72,"2021-03-17,16:15",26.7,67.5,0.001248,2.5,-,0,26.5,880.2
72,"2021-03-17,16:30",26.5,66.6,0.000248,2.5,-,0,26.56,880.2
72,"2021-03-17,18:15",24.9,72.9,0.011784,0,-,0,25.87,880.3
72,"2021-03-17,18:30",24.4,74.3,0.02432,0,-,0,25.81,880.3
72,"2021-03-17,20:15",23.2,79.5,-,0,117.063,0,24.68,880.7
72,"2021-03-17,22:30",21.5,83,-,2.5,258.7,0,23.56,883.4
72,"2021-03-17,23:15",21.9,80.6,-,2.5,110.882,0,23.18,883.5
72,"2021-03-17,23:30",21.8,83.2,-,2.5,309.151,0,23.12,883.4
72,"2021-03-18,00:15",20.3,87.1,-,2.5,321.573,0,22.93,883.8
72,"2021-03-18,03:15",19.7,87.8,-,0,220.343,0,22.06,882.9
72,"2021-03-18,03:30",19.5,89.2,-,0,248.966,0,22.06,882.8
72,"2021-03-18,08:15",21.3,73.6,0.021784,0,-,0,21.37,884.4
72,"2021-03-18,10:15",26.2,62.9,0.005248,0,-,0,25.56,885.6
72,"2021-03-18,11:15",27,64.8,0.014248,0,-,0,27.81,885.4
72,"2021-03-18,13:45",24.5,66.5,0.000248,2.5,-,0,29.87,883.6
72,"2021-03-18,14:15",26.4,62,0.029248,0,-,0,29.43,883.5
72,"2021-03-18,14:45",26.8,62,0.019248,2.5,-,0,29.87,883.1
72,"2021-03-18,15:30",27.1,60.9,0.011248,2.5,-,0,30.37,881.9
72,"2021-03-18,15:45",27.8,61.3,0.010248,2.5,-,0,30.37,881.9
72,"2021-03-18,16:15",28.2,57.6,0.003248,2,-,0,30.18,881.4
72,"2021-03-18,16:30",27.5,57,0.000248,2.5,-,0,30,881.2
72,"2021-03-18,17:45",25.4,66.2,0.015784,0,-,0,28.75,880.8
72,"2021-03-18,18:45",23.6,70.1,0.02232,0,-,0,27.56,881
72,"2021-03-18,19:30",22.1,76.2,0.002,2.5,-,0,26.43,880.8
72,"2021-03-18,19:45",21.8,76.1,-,2.5,242.021,0,26.18,880.8
72,"2021-03-18,20:15",21.3,76.6,-,0,250.877,0,25.62,881.5
72,"2021-03-18,20:30",21.7,74.5,-,2.5,249.474,0,25.31,881.8
72,"2021-03-18,22:00",20.8,82.6,-,0,288.571,0,24.25,882.3
72,"2021-03-18,22:45",20.7,83.6,-,0,295.942,0,23.81,882.5
72,"2021-03-18,23:00",20.8,81.7,-,0,295.636,0,23.75,882.8
72,"2021-03-18,23:45",20.9,81.5,-,0,297.037,0,23.37,883.2
72,"2021-03-19,00:30",21,79.5,-,5,96.854,0,23,883.7
72,"2021-03-19,00:45",20.8,79.8,-,2.5,206.217,0,22.93,883.7
72,"2021-03-19,01:15",0,81.8,0.001,0,-,0,22.68,883.2
72,"2021-03-19,01:30",20.4,80.9,-,2.5,103.664,0,22.62,882.8
72,"2021-03-19,02:15",20.1,86.7,-,5,25.49,0,22.37,883.4
72,"2021-03-19,03:45",19.8,81.7,-,0,80,0,21.81,882.4
72,"2021-03-19,4:00",19.8,81.8,-,0,80.855,0,21.81,882.2
72,"2021-03-20,00:15",18.8,91.6,-,0,347.816,0,20.68,882.8
72,"2021-03-20,00:30",18.8,91,-,0,350.769,0,20.68,882.7
72,"2021-03-20,01:15",18.2,92.7,-,0,354.704,0,20.68,881.9
72,"2021-03-20,02:15",19.2,88.4,-,0,355.41,0,20.75,881.8
72,"2021-03-20,02:45",19,92.4,-,0,357.778,0,20.81,881.7
72,"2021-03-20,3:00",18.8,92.8,-,0,357.682,0,20.81,881.9
72,"2021-03-21,00:15",23.2,79,-,0,267.407,0,24.12,880.7
72,"2021-03-21,00:30",23.2,77.5,-,0,281.859,0,24.06,880.7
72,"2021-03-21,03:30",19.6,89.6,-,2.5,108.276,0,23.12,879.4
72,"2021-03-21,03:45",19.6,89.8,-,2.5,99.328,0,23.06,879.4
72,"2021-03-21,04:15",19.5,89.2,-,0,193.913,0,22.81,879.5
72,"2021-03-21,04:30",19.9,88.6,-,0,194.159,0,22.68,879.8
72,"2021-03-21,04:45",19.9,89,-,0,195.111,0,22.68,879.9
72,"2021-03-21,05:15",20.1,91,-,0,197.84,0,22.56,880.5
72,"2021-03-21,05:30",20,89.9,-,0,197.84,0,22.56,880.6
72,"2021-03-21,06:15",20.2,89,-,0,176.985,0,22.37,880.7
72,"2021-03-21,09:45",26.6,62.9,0.007248,2.5,-,0,25.93,882.7
72,"2021-03-21,10:00",26.3,62.8,0.008248,2.5,-,0,26,882.7
72,"2021-03-21,10:30",26.3,68.3,0.014248,5,-,0,27.68,882.9
72,"2021-03-21,10:45",27,68.7,0.015248,2.5,-,0,27.93,882.9
72,"2021-03-21,11:15",27,68.8,0.031784,0,-,0,29.12,882.6
72,"2021-03-21,11:30",27.4,66.7,0.023248,5,-,0,29.18,882.4
72,"2021-03-21,12:15",23.3,89.3,0.031784,0,-,0,28.06,882.2
72,"2021-03-21,13:30",24.6,76.9,0.004784,2.5,-,0,27.18,880.8
72,"2021-03-21,13:45",24.5,77.3,0.001784,2.5,-,0,27.12,880.8
72,"2021-03-21,14:15",19.2,89.1,0.02932,0,-,0,25.75,880.2
72,"2021-03-21,14:30",18.5,97.2,0.03232,0,-,0,25.31,880.2
72,"2021-03-21,15:15",20.6,80.1,0.01732,5,-,1,24.25,879.7
72,"2021-03-21,15:30",19.1,95.2,0.02332,0,-,0,23.75,879.4
72,"2021-03-21,17:15",22.3,82.5,0.031784,0,-,0,23.18,878.7
