STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
70,"2021-04-01,11:30",26.35,73.10,0.018625,-,230.951,0,85.00,-
70,"2021-04-01,13:45",0.00,-,0.017969,-,148.821,0,85.00,-
70,"2021-04-01,15:00",-,-,0.015625,-,148.821,0,85.00,-
70,"2021-04-01,16:30",0.00,-,0.008672,-,202.053,0,85.00,-
70,"2021-04-01,17:30",-,-,0.004016,-,247.681,0,85.00,-
70,"2021-04-01,17:45",-,-,0.001734,-,139.696,0,85.00,-
70,"2021-04-01,18:45",22.54,88.22,0.000063,-,215.472,0,85.00,-
70,"2021-04-01,19:00",0.00,-,0.000031,-,236.604,0,85.00,-
70,"2021-04-01,21:00",20.39,95.59,0.000000,-,365.075,0,85.00,-
70,"2021-04-01,22:15",20.16,96.12,0.000000,-,365.075,0,85.00,-
70,"2021-04-01,23:15",20.05,96.97,0.000000,-,365.075,0,85.00,-
70,"2021-04-02,00:30",20.28,96.68,0.000000,-,365.075,0,85.00,-
70,"2021-04-02,00:45",21.30,94.81,0.000000,-,365.075,0,85.00,-
70,"2021-04-02,01:45",17.97,97.16,0.000000,-,100.755,-,-,-
70,"2021-04-02,04:15",18.62,96.59,0.000000,-,22.264,-,-,-
70,"2021-04-02,05:30",18.30,95.21,0.000000,-,111.321,-,-,-
70,"2021-04-02,05:45",18.22,95.00,0.000000,-,37.358,-,-,-
70,"2021-04-02,09:15",18.59,97.72,0.001375,-,14.717,-,-,-
70,"2021-04-02,09:30",18.71,97.58,0.001266,-,72.075,-,-,-
70,"2021-04-02,09:45",18.92,97.60,0.001453,-,365.075,-,-,-
70,"2021-04-02,16:15",26.36,73.03,0.010438,-,363.521,-,-,-
70,"2021-04-02,18:15",24.77,76.24,0.002063,-,291.787,-,-,-
70,"2021-04-02,18:30",23.84,86.33,0.001313,-,29.811,-,-,-
70,"2021-04-02,19:45",20.33,93.66,0.000000,-,365.075,-,-,-
70,"2021-04-02,20:00",20.13,95.75,0.000000,-,11.698,-,-,-
70,"2021-04-02,23:30",19.23,95.20,0.000000,-,34.34,-,-,-
70,"2021-04-02,23:45",19.06,96.15,0.000000,-,73.585,-,-,-
70,"2021-04-03,01:30",18.62,95.71,0.000000,-,49.434,-,-,-
70,"2021-04-03,01:45",18.68,96.35,0.000000,-,32.83,-,-,-
70,"2021-04-03,03:30",19.32,98.31,0.000000,-,365.075,-,-,-
70,"2021-04-03,03:45",19.31,98.61,0.000000,-,365.075,-,-,-
70,"2021-04-03,4:00",19.21,98.47,0.000000,-,365.075,-,-,-
70,"2021-04-03,03:30",19.32,98.31,0.000000,-,365.075,-,-,-
70,"2021-04-03,03:45",19.31,98.61,0.000000,-,365.075,-,-,-
70,"2021-04-03,4:00",19.21,98.47,0.000000,-,365.075,-,-,-
70,"2021-04-03,03:30",19.32,98.31,0.000000,-,365.075,-,-,-
70,"2021-04-03,03:45",19.31,98.61,0.000000,-,365.075,-,-,-
70,"2021-04-03,4:00",19.21,98.47,0.000000,-,365.075,-,-,-
70,"2021-04-03,03:30",19.32,98.31,0.000000,-,365.075,-,-,-
70,"2021-04-03,03:45",19.31,98.61,0.000000,-,365.075,-,-,-
70,"2021-04-03,4:00",19.21,98.47,0.000000,-,365.075,-,-,-
70,"2021-04-03,03:30",19.32,98.31,0.000000,-,365.075,-,-,-
70,"2021-04-03,03:45",19.31,98.61,0.000000,-,365.075,-,-,-
70,"2021-04-03,4:00",19.21,98.47,0.000000,-,365.075,-,-,-
70,"2021-04-03,03:30",19.32,98.31,0.000000,-,365.075,-,-,-
70,"2021-04-03,03:45",19.31,98.61,0.000000,-,365.075,-,-,-
70,"2021-04-03,4:00",19.21,98.47,0.000000,-,365.075,-,-,-
70,"2021-04-03,03:30",19.32,98.31,0.000000,-,365.075,-,-,-
70,"2021-04-03,03:45",19.31,98.61,0.000000,-,365.075,-,-,-
70,"2021-04-03,4:00",19.21,98.47,0.000000,-,365.075,-,-,-
70,"2021-04-03,03:30",19.32,98.31,0.000000,-,365.075,-,-,-
70,"2021-04-03,03:45",19.31,98.61,0.000000,-,365.075,-,-,-
70,"2021-04-03,4:00",19.21,98.47,0.000000,-,365.075,-,-,-
70,"2021-04-03,05:30",18.92,99.34,0.000000,-,22.264,-,-,-
70,"2021-04-03,05:45",18.94,99.28,0.000000,-,365.075,-,-,-
70,"2021-04-03,6:00",18.91,99.31,0.000000,-,365.075,-,-,-
70,"2021-04-03,05:30",18.92,99.34,0.000000,-,22.264,-,-,-
70,"2021-04-03,05:45",18.94,99.28,0.000000,-,365.075,-,-,-
70,"2021-04-03,6:00",18.91,99.31,0.000000,-,365.075,-,-,-
70,"2021-04-03,05:30",18.92,99.34,0.000000,-,22.264,-,-,-
70,"2021-04-03,05:45",18.94,99.28,0.000000,-,365.075,-,-,-
