STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
75,"2021-03-15,08:14:48",22.85,75.14,-0.015000,0.00,296.376,0,22.68,863.5
75,"2021-03-15,08:14:48",22.85,75.14,-0.015000,0.00,296.376,0,22.68,863.5
75,"2021-03-15,08:14:48",22.85,75.14,-0.015000,0.00,296.376,0,22.68,863.5
75,"2021-03-15,08:14:48",22.85,75.14,-0.015000,0.00,296.376,0,22.68,863.5
75,"2021-03-16,21:30",21.36,82.73,-,2.50,300.557,0,22.87,862.4
75,"2021-05-09,14:15",21.89,79.34,0.028536,2.50,64.138,-,-,-
75,"2021-05-10,10:15",19.72,89.95,-0.024000,0,80.344,0.0,41.81,870.0
75,"2021-05-10,11:15",19.82,88.11,0.030536,5.00,34.983,0.0,15.62,869.9
75,"2021-05-10,13:15",17.84,93.26,-0.008000,2.50,81.718,0.0,15.31,868.7
75,"2021-05-10,13:30",17.90,93.49,-0.009000,0,342.887,0.0,17.31,868.8
75,"2021-05-10,15:15",17.25,93.30,-0.009000,0,106.46,0.0,18.68,867.4
75,"2021-05-10,16:15",18.27,88.76,-0.016000,0,186.186,0.0,18.50,866.1
75,"2021-05-10,17:15",18.67,87.46,-0.014000,2.50,345.517,0.0,13.18,865.3
75,"2021-05-10,18:15",18.78,89.11,-0.005000,0.00,274.158,0.0,16.75,865.5
75,"2021-05-10,19:15",17.92,96.53,-,0,274.81,0.0,14.87,866.4
75,"2021-05-10,20:45",18.08,91.61,-,0,304.739,0.0,3.81,867.9
75,"2021-05-10,21:00",18.14,91.75,-,0,235.052,0.0,1.50,867.0
75,"2021-05-10,21:45",17.96,96.44,-,0.00,273.333,0.0,-4.12,868.6
75,"2021-05-10,22:00",18.03,96.82,-,0,283.158,0.0,-0.31,868.7
75,"2021-05-11,09:15",20.64,81.61,-0.028000,0,192.414,0.0,-9.56,869.4
75,"2021-05-11,11:45",24.19,67.66,-0.001464,0.00,91.724,-,-,-
75,"2021-05-11,12:00",23.98,68.71,-0.028464,5.00,122.069,-,-,-
75,"2021-05-11,13:15",23.38,70.51,-0.020000,2.50,160.69,-,-,-
75,"2021-05-11,13:30",23.53,71.04,-0.029000,0.00,134.483,-,-,-
75,"2021-05-11,14:30",23.43,69.81,0.030536,2.50,317.931,-,-,-
75,"2021-05-11,14:45",22.66,76.14,-0.031000,0.00,291.724,-,-,-
75,"2021-05-11,15:00",22.36,76.17,-0.027000,2.50,-,-,-,-
75,"2021-05-11,15:30",19.59,86.26,-0.027000,2.50,318.144,0.0,0.56,865.6
75,"2021-05-11,15:45",19.71,85.96,0.031536,0,353.883,0.0,16.56,865.6
75,"2021-05-11,16:15",23.27,74.85,0.024536,2.50,54.483,0.0,23.75,865.5
75,"2021-05-11,17:15",20.78,80.37,-0.011000,2.50,78.969,0.0,8.75,865.4
75,"2021-05-11,18:15",19.36,88.59,-0.001000,0.00,72.096,0.0,-9.25,866.2
75,"2021-05-11,19:15",18.54,91.38,-,2.50,47.586,0.0,22.18,866.9
75,"2021-05-11,19:30",18.55,90.29,-,2.50,13.103,0.0,22.12,867.0
75,"2021-05-11,20:15",18.47,85.46,-,2.50,53.356,0.0,48.81,867.3
75,"2021-05-11,20:30",18.43,85.85,-,5.00,76.886,0.0,53.56,867.3
75,"2021-05-11,21:15",18.43,87.15,-,5.00,66.111,0.0,57.25,867.7
75,"2021-05-11,21:30",18.43,87.00,-,2.50,36.944,0.0,56.43,867.6
75,"2021-05-11,22:15",18.59,88.26,-,2.50,83.136,0.0,71.93,868.4
75,"2021-05-11,23:15",18.15,91.15,-,0,83.497,0.0,75.93,868.5
75,"2021-05-12,04:00",17.32,90.84,-,0,113.333,0,-,866.7
75,"2021-05-12,08:15",18.42,88.38,-0.015000,0,155.0,0.0,85.68,868.9
75,"2021-05-12,09:15",20.25,85.69,0.025536,2.50,102.759,-,-,-
75,"2021-05-12,09:30",20.95,82.17,0.017536,0.00,204.055,-,-,-
75,"2021-05-12,09:45",20.81,83.13,0.011536,2.50,174.483,-,-,-
75,"2021-05-12,10:45",22.21,75.79,-0.000464,2.50,197.931,-,-,-
75,"2021-05-12,12:15",22.66,76.58,0.008536,2.50,338.621,-,-,-
75,"2021-05-12,13:30",21.13,78.96,-0.014000,2.50,326.392,0.0,75.50,867.5
