STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
82,"2021-03-01,23:15",23.14,84.63,-,7.5,251.698,0,25.43,879.1
82,"2021-03-21,13:45",32.52,45.34,-0.000072,7.50,-,0,45.06,876.9
82,"2021-03-21,14:45",29.52,55.49,0.020000,7.50,-,0,33.93,875.0
82,"2021-03-21,15:45",18.55,97.57,0.004000,15.00,-,1,22.12,875.5
82,"2021-03-21,16:00",19.37,95.71,0.001000,20.00,-,0,23.50,875.9
82,"2021-03-21,16:45",18.37,100.38,-,7.50,90.247,0,22.31,875.8
82,"2021-03-21,17:45",19.10,98.26,-,5.00,230.177,0,22.31,876.8
82,"2021-03-21,18:00",19.22,98.90,-,5.00,273.993,0,22.25,876.3
82,"2021-03-21,18:45",19.44,99.64,-,5.00,310.742,0,22.37,876.2
82,"2021-03-21,19:00",19.50,98.93,-,7.50,314.982,0,22.12,876.4
82,"2021-03-21,19:30",19.39,98.80,-,5.00,247.138,0,21.81,877.0
82,"2021-03-21,19:45",19.44,99.03,-,0.00,251.378,0,21.81,877.1
82,"2021-03-21,20:00",19.42,98.54,-,7.50,231.59,0,21.75,877.1
82,"2021-03-21,20:30",19.58,99.00,-,0.00,275.406,0,21.75,877.1
82,"2021-03-21,20:45",19.59,99.18,-,0.00,279.647,0,21.87,877.3
82,"2021-03-21,21:00",19.66,99.26,-,5.00,281.06,0,21.87,877.2
82,"2021-03-21,21:30",19.79,99.13,-,0.00,104.382,0,21.87,877.9
82,"2021-03-21,21:45",19.71,99.66,-,0.00,80.353,0,21.87,877.9
82,"2021-03-21,22:15",19.81,100.35,-,0.00,296.312,0,22.00,878.0
82,"2021-03-21,22:30",19.84,100.72,-,0.00,248.551,0,21.87,878.0
82,"2021-03-21,22:45",19.82,100.41,-,0.00,248.551,0,21.81,878.3
82,"2021-03-22,00:15",19.79,100.93,-,0.00,276.454,0,21.81,878.6
82,"2021-03-22,00:30",19.68,101.25,-,0.00,272.199,0,21.81,878.6
82,"2021-03-22,01:15",-,101.53,-,0.00,242.411,0,21.68,878.3
82,"2021-03-22,02:30",20.22,98.52,-,0.00,277.872,0,21.75,878.0
82,"2021-03-22,02:45",20.40,97.71,-,0.00,292.057,0,21.81,877.9
82,"2021-03-22,3:00",20.30,98.7,-,0.00,292.057,0,21.75,877.9
82,"2021-03-23,00:15",19.90,83.37,-,5.00,135.556,0,21.68,879.9
82,"2021-03-23,00:30",19.87,83.34,-,7.50,125.185,0,21.68,879.9
82,"2021-03-23,01:15",20.42,81.49,-,0.00,174.074,0,21.62,879.6
82,"2021-03-23,01:30",20.42,81.27,-,0.00,171.822,0,21.75,879.4
82,"2021-03-23,02:15",20.55,83.53,-,0.00,180.0,0,21.68,879.1
82,"2021-03-23,02:30",20.33,84.48,-,0.00,146.543,0,21.68,879.2
82,"2021-03-23,04:15",20.89,82.96,-,0.00,192.734,0,21.81,879.0
82,"2021-03-23,04:30",20.90,80.48,-,0.00,228.689,0,21.75,879.0
82,"2021-03-23,05:15",21.03,79.83,-,0.00,190.448,0,21.68,879.4
82,"2021-03-23,05:30",21.23,78.71,-,5.00,193.433,0,21.68,879.4
82,"2021-03-23,06:15",20.35,83.13,-,0.00,172.537,0,20.87,879.8
82,"2021-03-23,06:30",20.32,83.18,-,0.00,172.537,0,20.81,879.8
82,"2021-03-23,07:15",20.59,81.50,0.00700,0.00,-,0,20.62,880.6
82,"2021-03-23,07:30",20.69,81.66,0.008000,0.00,-,0,20.81,880.8
82,"2021-03-23,08:15",23.45,67.61,0.019000,5.00,-,0,23.50,881.5
82,"2021-03-23,09:30",25.69,59.16,0.000464,5.00,-,0,34.87,882.1
82,"2021-03-23,09:45",26.71,59.03,0.015464,7.50,-,0,38.6,882.1
82,"2021-03-23,10:15",27.40,53.54,0.024464,5.00,-,0,39.31,882.2
82,"2021-03-23,10:30",28.19,53.24,0.031464,5.00,-,0,39.93,882.0
82,"2021-03-23,11:15",28.89,47.18,-0.023072,7.50,-,0,41.50,881.8
82,"2021-03-23,11:30",28.71,46.76,-0.019072,7.50,-,0,43.43,881.8
82,"2021-03-23,13:15",30.52,47.78,-0.011072,7.50,-,0,39.62,880.2
82,"2021-03-23,13:30",30.78,43.31,-0.008072,7.50,-,0,42.25,880.1
82,"2021-03-23,16:00",29.68,53.07
82,"2021-03-23,17:15",27.31,62.25,0.017000,7.50,-,0,29.81,877.5
82,"2021-03-23,18:15",26.31,66.67,0.008000,0.00,-,0,27.56,877.8
82,"2021-03-23,19:15",24.25,76.47,-,5.00,219.062,0,25.18,878.2
82,"2021-03-23,19:45",23.53,82.36,-,7.50,245.098,0,24.50,878.4
82,"2021-03-23,20:00",23.40,82.65,-,7.50,80.69,0,24.37,878.4
82,"2021-03-23,20:45",22.91,83.27,-,0.00,242.992,0,23.75,879.0
82,"2021-03-23,21:00",22.86,83.36,-,0.00,254.016,0,23.68,879.1
82,"2021-03-23,21:45",22.47,85.34,-,0.00,259.216,0,23.31,879.4
82,"2021-03-23,22:15",22.58,84.21,-,0.00,222.187,0,23.12,879.8
82,"2021-03-23,22:45",22.69,82.97,-,0.00,245.625,0,22.81,880.3
82,"2021-03-23,23:00",22.73,82.72,-,0.00,213.725,0,22.81,880.4
82,"2021-03-24,00:45",21.57,87.47,-,0.00,210.83,0,21.87,880.5
82,"2021-03-24,1:00",21.15,89.60,-,0.00,228.221,0,21.62,880.4
82,"2021-04-01,12:45",28.18,63.30,0.002928,0.00,-,0,37.68,881.1
82,"2021-04-01,13:00",28.44,62.27,0.008928,7.50,-,0,34.12,881.0
82,"2021-04-01,13:45",28.39,59.22,0.026000,0.00,-,0,40.06,880.1
82,"2021-04-01,14:45",29.05,58.06,-0.014072,15.00,-,0,43.43,879.4
82,"2021-04-01,15:00",29.09,58.63,-0.019072,7.50,-,0,44.31,879.2
82,"2021-04-01,15:30",29.19,60.06,0.027464,7.50,-,0,40.81,879.1
82,"2021-04-01,16:30",27.55,62,0.017000,0.00,-,0,29.00,878.3
82,"2021-04-01,16:45",27.43,62.87,0.009000,15.00,-,0,28.31,878.2
82,"2021-04-01,17:00",26.85,65.66,0.009000,0.00,-,0,28.12,878.3
82,"2021-04-01,17:30",26.63,64.59,0.023000,7.50,-,0,27.37,878.4
82,"2021-04-01,17:45",26.43,64.41,0.026000,7.50,-,-,27.00,878.4
82,"2021-04-01,18:30",24.86,70.88,0.004000,15.00,-,0,25.56,878.5
82,"2021-04-01,18:45",24.33,73.50,0.002000,15.00,-,0,25.12,8.0
82,"2021-04-01,19:00",24.28,73.77,0.001000,15.00,-,0,25.00,878.7
82,"2021-04-01,20:30",22.71,82.97,-,7.5,246.135,0,23.75,879.7
82,"2021-04-01,20:45",22.85,82.75,-,0.00,240.8,0,23.87,879.7
82,"2021-04-01,21:15",22.81,83.19,-,5.00,223.825,0,23.50,880.3
82,"2021-04-01,21:30",22.41,84.84,-,5.00,264.8,0,23.25,880.7
82,"2021-04-01,21:45",0.00,84.76,-,0.00,261.6,0,23.25,880.7
82,"2021-04-01,22:15",22.47,85.09,-,0.00,266.64,0,23.43,881.0
