STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
91,"2021-03-11,11:00",-,-,-0.020072,2.5,213.803,0,43.56,895.2
91,"2021-03-11,11:00",-,-,-0.020072,2.5,213.803,0,43.56,895.2
91,"2021-03-11,11:00",-,-,-0.020072,2.5,213.803,0,43.56,895.2
91,"2021-03-31,17:45",-,-,0.002,5,5,0,37.87,891.8
91,"2021-04-01,17:15",-,-,-0.025536,0,-,0,35.87,891.8
91,"2021-04-01,17:30",-,-,-0.030536,0,-,0,35.25,891.8
91,"2021-04-01,18:15",-,-,0.006,0,-,0,30.06,892.2
91,"2021-04-01,18:30",-,-,0.006,2.5,-,0,29.56,892.2
91,"2021-04-01,19:15",-,-,-,0,164.722,0,27.93,892.8
91,"2021-04-01,19:30",-,-,-,0,207.778,0,27.68,892.8
91,"2021-04-01,20:15",-,-,-,0,261.944,0,26.37,893.5
91,"2021-04-01,20:30",-,-,-,2.5,261.944,0,26.31,893.5
91,"2021-04-02,00:15",-,-,-,0,255.433,0,24.06,895.7
91,"2021-04-02,01:15",-,-,-,0,61.661,0,24.06,895.2
91,"2021-04-02,04:15",-,-,-,0,112.872,0,23.12,894.7
91,"2021-04-02,05:45",-,-,-,0,75.502,0,22.31,895.2
91,"2021-04-02,6:00",-,-,-,0,105.952,0,22.43,895.2
91,"2021-04-02,05:45",-,-,-,0,75.502,0,22.31,895.2
91,"2021-04-02,6:00",-,-,-,0,105.952,0,22.43,895.2
91,"2021-04-02,05:45",-,-,-,0,75.502,0,22.31,895.2
91,"2021-04-02,6:00",-,-,-,0,105.952,0,22.43,895.2
91,"2021-04-02,05:45",-,-,-,0,75.502,0,22.31,895.2
91,"2021-04-02,6:00",-,-,-,0,105.952,0,22.43,895.2
91,"2021-04-02,06:45",-,-,0.001,0,-,0,22.12,896.4
91,"2021-04-02,07:30",-,-,0.006,0,-,0,22.87,896.8
91,"2021-04-02,07:45",-,-,0.007,0,-,0,23.06,896.9
91,"2021-04-02,8:00",-,-,0.008,0,-,0,23.12,896.9
91,"2021-04-02,07:30",-,-,0.006,0,-,0,22.87,896.8
91,"2021-04-02,07:45",-,-,0.007,0,-,0,23.06,896.9
91,"2021-04-02,8:00",-,-,0.008,0,-,0,23.12,896.9
91,"2021-04-02,07:30",-,-,0.006,0,-,0,22.87,896.8
91,"2021-04-02,07:45",-,-,0.007,0,-,0,23.06,896.9
91,"2021-04-02,8:00",-,-,0.008,0,-,0,23.12,896.9
91,"2021-04-02,07:30",-,-,0.006,0,-,0,22.87,896.8
91,"2021-04-02,07:45",-,-,0.007,0,-,0,23.06,896.9
91,"2021-04-02,8:00",-,-,0.008,0,-,0,23.12,896.9
91,"2021-04-02,08:30",-,-,0.022,0,-,0,25,897.7
91,"2021-04-02,08:45",-,-,-0.018536,0,-,0,26.25,897.8
91,"2021-04-02,9:00",-,-,-0.016536,0,-,0,27.18,897.9
91,"2021-04-02,08:30",-,-,0.022,0,-,0,25,897.7
91,"2021-04-02,08:45",-,-,-0.018536,0,-,0,26.25,897.8
91,"2021-04-02,9:00",-,-,-0.016536,0,-,0,27.18,897.9
91,"2021-04-02,08:30",-,-,0.022,0,-,0,25,897.7
91,"2021-04-02,08:45",-,-,-0.018536,0,-,0,26.25,897.8
91,"2021-04-02,9:00",-,-,-0.016536,0,-,0,27.18,897.9
91,"2021-04-02,08:30",-,-,0.022,0,-,0,25,897.7
91,"2021-04-02,08:45",-,-,-0.018536,0,-,0,26.25,897.8
91,"2021-04-02,9:00",-,-,-0.016536,0,-,0,27.18,897.9
91,"2021-04-02,09:30",-,-,-0.010536,0,-,0,27.87,898.1
91,"2021-04-02,09:45",-,-,0.032,0,-,0,29.18,898.1
91,"2021-04-02,10:00",-,-,0.026,0,-,0,28.56,898.1
91,"2021-04-02,10:30",-,-,-0.019536,0,-,0,29.43,897.9
91,"2021-04-02,10:45",-,-,-0.030072,2.5,-,0,33,897.9
91,"2021-04-02,11:00",-,-,-0.030072,0,-,0,34.25,897.8
91,"2021-04-02,11:30",-,-,0.008464,2.5,-,0,34.87,897.1
91,"2021-04-02,11:45",-,-,0.026,0,-,0,31.81,897
91,"2021-04-02,12:30",-,-,0.005464,0,-,0,32.87,896.7
91,"2021-04-02,12:45",-,-,0.032464,0,-,0,34.62,896.7
91,"2021-04-02,13:15",-,-,-0.029536,0,-,0,34.5,896.2
91,"2021-04-02,13:30",-,-,0.014,5,-,0,30.56,896
91,"2021-04-02,13:45",-,-,0.022,2.5,-,0,29.43,896
91,"2021-04-02,14:15",-,-,0.007,0,-,0,26.87,895.6
91,"2021-04-02,14:30",-,-,0.007,5,-,0,25.93,895.9
91,"2021-04-02,14:45",-,-,0.008,2.5,-,0,25.25,895.2
91,"2021-04-02,15:15",-,-,0.026,0,-,0,26.43,894.7
91,"2021-04-02,15:30",-,-,0.001464,0,-,0,27.56,894.4
91,"2021-04-02,15:45",-,-,-0.017536,2.5,-,0,30.06,894.2
91,"2021-04-02,16:15",-,-,0.002464,2.5,-,0,31.18,893.9
91,"2021-04-02,16:30",-,-,0.000464,2.5,-,0,31.75,893.9
91,"2021-04-02,16:45",-,-,-0.002536,2.5,-,0,31.68,893.9
91,"2021-04-02,17:15",-,-,0.02,0,-,0,28.62,894
91,"2021-04-02,17:30",-,-,0.022,0,-,0,28.43,894.3
91,"2021-04-02,17:45",-,-,0.014,0,-,0,27.87,894.4
91,"2021-04-02,18:15",-,-,0.005,0,-,0,26.56,894.4
91,"2021-04-02,18:30",-,-,0.002,0,-,0,26.06,894.5
91,"2021-04-02,18:45",-,-,0.002,0,-,0,26,894.7
91,"2021-04-02,19:15",-,-,-,0,22.907,0,25,895.2
91,"2021-04-02,19:30",-,-,-,0,183.46,0,24.81,895.2
91,"2021-04-02,19:45",-,-,-,0,191.765,0,24.81,895.1
91,"2021-04-02,20:15",-,-,-,0,278.962,0,24.25,895.6
91,"2021-04-02,20:30",-,-,-,0,281.73,0,24.25,895.8
91,"2021-04-02,21:15",-,-,-,0,196,0,23.81,897
91,"2021-04-02,21:30",-,-,-,0,83.806,0,24,897.2
91,"2021-04-02,21:45",-,-,-,0,83.806,0,24.06,897.2
91,"2021-04-02,22:15",-,-,-,2.5,108.72,0,23.62,897.4
91,"2021-04-02,23:15",-,-,-,0,301.107,0,22.5,897.3
91,"2021-04-03,00:15",-,-,-,0,137.785,0,21.87,896.5
91,"2021-04-03,00:30",-,-,-,0,110.104,0,21.87,896.7
91,"2021-04-03,00:45",-,-,-,0,64.429,0,21.81,896.8
91,"2021-04-03,01:45",-,-,-,0,56.125,0,21.43,896.6
91,"2021-04-03,2:00",-,-,-,0,92.111,0,21.5,896.5
91,"2021-04-03,01:45",-,-,-,0,56.125,0,21.43,896.6
91,"2021-04-03,2:00",-,-,-,0,92.111,0,21.5,896.5
91,"2021-04-03,01:45",-,-,-,0,56.125,0,21.43,896.6
91,"2021-04-03,2:00",-,-,-,0,92.111,0,21.5,896.5
91,"2021-04-03,02:30",-,-,-,0,107.336,0,21.18,896.1
