STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
84,"2021-03-17,08:15",0,-,-0.032536,0,-,0,25.68,897.7
84,"2021-03-17,9:00",25.1,65.9,0.029464,0,-,0,26.12,898.3
84,"2021-03-17,10:15",28.6,56.5,-0.015144,5,-,0,27.5,898.6
84,"2021-03-17,10:45",29.3,46.7,-0.02568,10,-,0,28.56,898.4
84,"2021-03-17,10:15",28.6,56.5,-0.015144,5,-,0,27.5,898.6
84,"2021-03-17,11:15",30.1,45.3,,10,-,0,29,898.3
84,"2021-03-17,11:45",31.4,40.8,0.01132,10,-,0,30.43,898
84,"2021-03-17,12:00",31.9,39.3,0.01332,15,-,0,30.81,897.7
84,"2021-03-17,12:45",32.4,40.8,0.02332,5,-,0,32.56,897.2
84,"2021-03-17,13:00",30.6,42.9,0.028464,10,-,0,32.81,897
84,"2021-03-17,13:45",34.00,36.00,0.011320,12.50,-,0,33.93,895.9
84,"2021-03-17,14:00",32.20,37.80,-0.016072,10.00,-,0,34.18,895.7
84,"2021-03-17,14:30",33.10,37.20,0.026392,5.00,-,0,34.75,894.9
84,"2021-03-17,14:45",0.00,38.80,-0.003072,15.00,-,0,34.75,894.8
84,"2021-03-17,15:00",32.30,38.90,0.021928,0.00,-,0,34.81,894.7
84,"2021-03-17,17:30",25.60,66.90,-0.027536,10.00,-,0,33.18,893.9
84,"2021-03-17,17:45",25.50,66.20,0.029000,10.00,-,0,33.06,893.7
84,"2021-03-17,18:15",25.00,66.10,0.014000,5.00,-,0,33.00,894.0
84,"2021-03-17,18:30",24.70,69.0,0.008000,5.00,-,0,32.81,894.0
84,"2021-03-17,18:45",24.50,69.50,0.007000,5.00,-,0,32.75,894.3
84,"2021-03-17,19:15",24.20,69.80,-,0.00,18.621,0,31.93,894.6
84,"2021-03-17,19:30",23.90,72.40,-,5.00,11.724,0,31.68,894.9
84,"2021-03-17,20:15",23.30,72.70,-,5.00,53.103,0,30.87,895.0
84,"2021-03-17,20:30",23.00,73.10,-,0.00,4.828,0,30.68,895.2
84,"2021-03-17,21:15",22.80,71.20,-,5.00,31.034,0,30.00,895.4
84,"2021-03-17,21:30",22.70,71.20,-,5.00,71.034,0,29.93,895.6
84,"2021-03-17,22:15",23.00,67.90,-,5.00,7.586,0,29.25,897.4
84,"2021-03-17,23:15",22.90,74.00,-,5.00,351.034,0,28.68,898.2
84,"2021-03-18,00:15",22.20,75.90,-,5.00,46.207,0,28.37,898.5
84,"2021-03-18,01:45",22.40,77.60,-,0.00,206.441,0,27.81,898.9
84,"2021-03-18,2:00",22.30,76.00,-,10.00,29.655,0,27.75,898.8
84,"2021-03-19,00:15",21.40,74.70,-,10.00,186.897,0,26.00,897.4
84,"2021-03-19,00:30",19.90,86.40,-,0.00,233.793,0,26.00,897.5
84,"2021-03-19,01:15",19.10,91.40,-,5.00,243.448,0,25.62,897.7
84,"2021-03-19,02:15",19.10,92.40,-,10.00,255.862,0,25.18,897.3
84,"2021-03-19,03:45",18.80,92.70,-,5.00,236.552,0,24.56,896.7
84,"2021-03-19,4:00",18.80,92.70,-,5,253.103,0,24.50,896.8
84,"2021-03-20,00:15",22.70,72.60,-,5.00,254.483,0,27.62,897.3
84,"2021-03-20,01:15",21.80,77.10,-,0.00,246.207,0,26.93,896.7
84,"2021-03-20,02:15",21.20,80.00,-,0.00,262.759,0,26.50,896.2
84,"2021-03-20,02:30",21.00,80.90,-,0.00,273.793,0,26.43,896.1
84,"2021-03-20,03:15",20.70,82.00,-,0.00,276.552,0,26.06,895.9
84,"2021-03-20,03:30",20.10,84.80,-,0.00,305.517,0,26.00,895.8
84,"2021-03-20,04:15",19.80,86.20,-,0.00,246.207,0,25.62,895.8
84,"2021-03-20,07:15",0.00,-,0.003000,0.00,-,0,24.56,896.8
84,"2021-03-20,08:15",24.40,66.50,0.024000,10.00,-,0,24.43,897.3
84,"2021-03-20,09:15",25.20,59.50,-0.000536,5.00,-,0,25.06,897.9
84,"2021-03-20,10:45",30.40,46.00,-0.003680,15.00,-,0,27.00,897.6
84,"2021-03-20,11:45",32.00,40.40,0.014320,22.50,-,0,28.87,896.6
84,"2021-03-20,12:00",33.10,38.00,0.022320,20.00,-,0,29.12,896.5
84,"2021-03-20,14:30",33.60,33.40,0.009464,20.00,-,0,34.06,893.1
84,"2021-03-20,14:45",36.60,28.60,-0.023072,10.00,-,0,34,892.9
84,"2021-03-20,15:00",33.20,31.60,-0.005536,22.50,-,0,34.43,892.8
84,"2021-03-20,15:30",33.10,30.00,-0.018536,15.00,-,0,34.56,892.4
84,"2021-03-20,16:30",36.40,27.90,-0.003144,15.00,-,0,34.87,891.9
84,"2021-03-20,16:45",33.50,31.00,-0.003536,15.00,-,0,35.12,891.7
84,"2021-03-20,17:30",33.20,32.60,-0.022536,5.00,-,0,34.75,891.6
84,"2021-03-20,17:45",34.20,30.60,0.030000,5.00,-,0,34.50,891.6
84,"2021-03-20,18:15",32.40,33.50,0.014000,5.00,-,0,33.93,891.0
84,"2021-03-20,18:30",31.90,34.90,0.008000,10.00,-,0,33.62,891.9
84,"2021-03-20,18:45",31.40,35.40,0.007000,10.00,-,0,33.50,891.9
84,"2021-03-20,19:15",29.20,39.20,-,0.00,217.241,0,32.75,892.4
84,"2021-03-20,19:30",29.50,39.00,-,5.00,193.793,0,32.37,892.6
84,"2021-03-20,20:15",28.00,43.30,-,0.00,239.31,0,31.37,893.0
84,"2021-03-20,20:30",27.10,44.90,-,0.00,222.759,0,31.18,893.1
84,"2021-03-20,21:15",27.10,44.50,-,5.00,242.069,0,30.50,893.6
84,"2021-03-20,22:15",27.10,46.00,-,10.00,226.897,0,29.56,894.3
84,"2021-03-21,00:15",25.00,52.90,-,5.00,243.448,0,28.31,895.2
84,"2021-03-21,01:15",24.90,53.10,-,5.00,242.069,0,27.81,-
84,"2021-03-21,02:45",23.20,,-,0.00,275.172,0,27.00,893.7
84,"2021-03-21,3:00",23.20,61.10,-,5.00,257.241,0,27.00,893.6
84,"2021-03-22,00:15",23.90,65.80,-,0.00,311.034,0,28.00,896.3
84,"2021-03-22,00:30",23.70,65.60,-,0.00,275.172,0,27.93,896.2
84,"2021-03-22,00:45",23.70,65.50,-,0.00,254.483,0,27.87,896.2
84,"2021-03-22,02:15",22.60,69.70,-,5.00,205.085,0,27.12,895.8
84,"2021-03-22,02:30",22.60,69.50,-,5.00,6.207,0,27.12,896.0
84,"2021-03-22,03:15",21.90,73.10,-,0.00,13.103,0,26.81,895.6
84,"2021-03-22,03:30",21.50,74.50,-,0.00,8.966,0,26.75,895.7
84,"2021-03-22,04:15",21.30,77.40,-,5.00,37.931,0,26.43,895.5
84,"2021-03-22,04:30",21.30,77.30,-,5.00,51.724,0,26.37,895.6
84,"2021-03-22,05:15",21.50,79.40,-,5.00,29.655,0,26.12,896.0
84,"2021-03-22,05:30",21.30,80.10,-,0.00,32.414,0,26.12,896.0
84,"2021-03-22,06:15",0.00,-,-,0.00,135.862,0,25.87,896.6
84,"2021-03-22,07:15",0.00,-,0.006000,5.00,-,0,25.68,897.4
84,"2021-03-22,08:15",0.00,-,-0.030536,0.00,-,0,25.62,898.5
84,"2021-03-22,09:15",24.00,76.40,-0.032072,0.00,-,0,25.93,899.3
84,"2021-03-22,10:45",26.10,71.00,-0.023608,10.00,-,0,27.56,899.3
84,"2021-03-22,11:00",25.90,72.90,-0.028608,10.00,-,0,27.68,899.2
84,"2021-03-22,12:30",29.00,57.70,-0.032144,0.00,-,0,29.25,898.0
84,"2021-03-22,12:45",29.80,54.80,-0.013144,5.00,-,0,29.62,897.8
84,"2021-03-22,13:30",30.80,49.20,0.007392,0.00,-,0,30.68,896.9
84,"2021-03-22,13:45",31.00,48.80,-0.010608,7.50,-,0,30.,896.7
84,"2021-03-22,14:30",30.70,44.80,-0.013608,5.00,-,0,31.75,895.6
84,"2021-03-22,14:45",31.80,42.60,-0.023608,2.50,-,0,31.87,895.4
84,"2021-03-22,16:15",31.50,39.00,-0.022072,0.00,-,0,32.50,894.2
84,"2021-03-22,17:15",31.10,39.30,-0.004536,0.00,-,0,32.50,893.8
84,"2021-03-22,17:30",31.10,39.70,-0.012536,0.00,-,0,32.43,893.7
84,"2021-03-22,18:15",29.60,47.80,0.021000,0.00,-,0,32.12,894.3
84,"2021-03-22,20:15",26.20,60.60,-,0.00,79.31,0,30.31,895.6
84,"2021-03-22,20:30",26.10,60.80,-,0.00,79.31,0,30.31,895.6
84,"2021-03-22,21:15",25.80,64.10,-,0.00,119.31,0,29.62,896.2
84,"2021-03-22,22:15",25.60,63.80,-,0.00,157.931,0,28.93,897.1
84,"2021-03-22,22:45",24.90,65.90,-,5.00,7.586,0,28.62,897.7
84,"2021-03-22,23:15",24.40,68.90,-,0.00,18.621,0,28.43,897.9
84,"2021-03-22,23:45",24.00,72.20,-,5.00,338.621,0,28.12,898.1
84,"2021-03-22,24:00",23.90,72.00,-,5.00,326.207,0,28.06,898.2
84,"2021-03-23,01:30",23.70,69.60,-,10.00,304.138,0,27.43,897.2
84,"2021-03-23,01:45",23.60,69.90,-,10.00,290.345,0,27.43,897.2
84,"2021-03-23,02:30",23.20,72.20,-,0.00,313.793,0,27.12,896.9
84,"2021-03-23,02:45",23.00,72.00,-,0.00,14.483,0,27.06,896.9
84,"2021-03-23,03:30",22.10,75.80,-,0.00,342.759,0,26.81,896.6
84,"2021-03-23,03:45",22.10,76.00,-,0.00,284.828,0,26.81,896.6
84,"2021-03-23,05:30",0.00,-,-,5.00,87.586,0,26.18,897.0
84,"2021-03-23,05:45",0.00,-,-,0.00,115.172,0,26.06,897.7
84,"2021-03-23,06:30",0.00,-,-,0.00,287.266,0,25.81,897.8
84,"2021-03-23,06:45",0.00,-,-,0.00,10.345,0,25.81,897.8
84,"2021-03-23,07:15",0.004000,0.00,-,0,25.62,898.4
84,"2021-03-23,07:30",0.008000,0.00,-,0,25.50,898.8
84,"2021-03-23,07:45",0.012000,0.00,-,0,25.43,898.9
84,"2021-03-23,08:30",0.00,-,-0.014536,0.00,-,0,25.43,899.5
84,"2021-03-23,08:45",0.00,-,0.016464,0.00,-,0,25.62,899.7
84,"2021-03-23,9:00",0.00,-,0.016464,0.00,-,0,25.62,899.7
84,"2021-03-24,01:30",23.30,56.30,-,5.00,356.552,0,28.31,897.3
84,"2021-03-24,01:45",23.60,52.40,-,0.00,293.103,0,28.18,897.1
84,"2021-03-24,02:30",23.20,55.30,-,5.00,288.966,0,27.75,896.9
84,"2021-03-24,04:15",21.90,70.50,-,0.00,340.0,0,27.00,897.0
84,"2021-03-24,04:30",22.10,69.70,-,5.00,317.931,0,26.93,897.1
84,"2021-03-24,05:15",21.60,70.00,-,0.00,21.379,0,26.68,897.0
84,"2021-03-24,05:30",21.10,72.30,-,0.00,44.828,0,26.62,897.2
84,"2021-03-24,07:15",0.00,-,0.009000,5.00,-,0,25.93,898.3
84,"2021-03-24,08:15",0.00,-,0.024000,5.00,-,0,25.87,899.3
84,"2021-04-01,12:30",32.10,43.10,0.028320,10.00,-,0,29.93,898.8
84,"2021-04-01,13:15",33.50,40.30,0.027320,20.00,-,0,31.81,897.9
84,"2021-04-01,13:30",32.00,40.10,0.016320,15.00,-,0,32.25,897.8
84,"2021-04-01,14:15",33.50,39.80,0.028320,12.50,-,0,33.12,897.0
84,"2021-04-01,14:30",32.90,40.10,0.018320,5.00,-,0,33.37,896.7
84,"2021-04-01,15:15",34.30,37.30,0.004464,0.00,-,0,34.18,896.0
84,"2021-04-01,15:30",32.80,39.40,-0.014536,10.00,-,0,34.31,895.9
84,"2021-04-01,16:15",33.50,37.50,-0.012144,0.00,-,0,35.18,895.1
84,"2021-04-01,16:30",33.70,36.70,0.032392,12.50,-,0,35.25,895.1
84,"2021-04-01,17:15",33.90,35.60,-0.010536,5.00,-,0,35.75,894.7
84,"2021-04-01,17:30",33.40,36.60,-0.022536,5.00,-,0,35.75,894.7
84,"2021-04-01,18:15",32.20,38.30,0.014000,0.00,-,0,35.31,895.0
84,"2021-04-01,19:15",29.00,45.60,-,0.00,308.276,0,34.06,895.3
84,"2021-04-01,20:15",22.60,75.00,-,12.50,214.483,0,32.50,897.7
84,"2021-04-01,22:15",22.30,81.30,-,5.00,242.069,0,30.25,898.4
84,"2021-04-01,23:45",22.80,77.20,-,5.00,286.207,0,28.93,899.0
84,"2021-04-02,00:45",21.50,86.90,-,10.00,44.828,0,28.31,899.1
84,"2021-04-02,1:00",21.30,87.10,-,5.00,71.034,0,28.25,899.1
84,"2021-04-02,00:45",21.50,86.90,-,10.00,44.828,0,28.31,899.1
84,"2021-04-02,1:00",21.30,87.10,-,5.00,71.034,0,28.25,899.1
84,"2021-04-02,00:45",21.50,86.90,-,10.00,44.828,0,28.31,899.1
84,"2021-04-02,1:00",21.30,87.10,-,5.00,71.034,0,28.25,899.1
84,"2021-04-02,00:45",21.50,86.90,-,10.00,44.828,0,28.31,899.1
84,"2021-04-02,1:00",21.30,87.10,-,5.00,71.034,0,28.25,899.1
84,"2021-04-02,01:30",20.70,89.50,-,10.00,33.793,0,27.81,899.0
84,"2021-04-02,01:45",20.50,90.00,-,5.00,92.0,0,27.75,898.9
84,"2021-04-02,2:00",20.50,90.80,-,2.50,55.862,0,27.62,898.8
84,"2021-04-02,03:30",19.40,98.90,-,0.00,60.0,0,26.75,898.6
84,"2021-04-02,03:45",19.30,98.90,-,0.00,353.793,0,26.62,898.7
84,"2021-04-02,04:30",19.50,93.10,-,0.00,203.729,0,26.31,898.7
84,"2021-04-02,04:45",19.60,92.80,-,0.00,7.586,0,26.31,898.8
84,"2021-04-02,05:30",0.00,-,-,0.00,39.661,0,25.93,899.1
84,"2021-04-02,05:45",0.00,-,-,0.00,29.655,0,25.93,899.1
84,"2021-04-02,06:30",0.00,-,-,0.00,83.448,0,25.62,900.1
84,"2021-04-02,06:45",0.00,-,-,0.00,160.69,0,25.56,900.2
84,"2021-04-02,07:30",0.00,-,0.014000,0.00,-,0,25.31,900.5
84,"2021-04-02,07:45",0.00,-,0.015000,0.00,-,0,25.31,900.6
84,"2021-04-02,09:15",25.30,69.00,-0.024608,5.00,-,0,26.00,901.8
84,"2021-04-02,09:30",25.60,68.60,-0.009608,-,68.581,0,26.12,901.7
84,"2021-04-02,10:15",26.80,65.70,-0.021680,10.00,-,0,27.06,901.6
84,"2021-04-02,10:30",27.20,61.90,-0.029680,5.00,-,0,27,901.5
84,"2021-04-02,11:15",28.10,59.50,0.027392,5.00,-,0,28.50,901.2
84,"2021-04-02,11:30",27.90,60.60,-0.004608,12.50,-,0,28.56,901.3
84,"2021-04-02,12:15",29.10,57.60,0.027856,15.00,-,0,29.75,900.6
84,"2021-04-02,12:30",30.10,55.20,-0.003144,10.00,-,0,29.81,900.4
84,"2021-04-02,13:15",29.90,51.30,0.012928,15.00,-,0,31.68,898.8
84,"2021-04-02,14:15",19.80,90.00,0.018000,5.00,-,1,32.06,899.9
84,"2021-04-02,15:15",21.00,87.80,0.020000,5.00,-,0,29.75,898.2
84,"2021-04-02,16:45",21.90,90.10,0.015000,0.00,-,0,27.75,897.9
84,"2021-04-02,17:00",22.00,90.20,0.020000,5.00,-,0,27.62,897.9
84,"2021-04-02,17:45",22.10,88.80,0.011000,5.00,-,0,27.06,897.7
84,"2021-04-02,18:45",21.70,92.00,0.002000,0.00,-,0,26.37,897.8
84,"2021-04-02,19:00",21.60,93.20,0.001000,0.00,-,0,26.37,897.9
84,"2021-04-02,19:30",21.60,94.50,-,0.00,4.828,0,26.12,898.2
84,"2021-04-02,19:45",21.60,94.10,-,0.00,342.759,0,26.06,898.3
84,"2021-04-02,20:00",21.40,94.50,-,0.00,356.552,0,26.00,898.3
84,"2021-04-02,20:30",20.70,94.90,-,0.00,338.621,0,25.68,898.9
84,"2021-04-02,20:45",21.00,93.60,-,5.00,291.724,0,25.56,899.2
84,"2021-04-02,21:30",20.60,93.50,-,0.00,333.103,0,25.25,899.3
84,"2021-04-02,21:45",20.60,93.40,-,0.00,345.517,0,25.25,899.2
84,"2021-04-02,22:15",20.60,92.30,-,0.00,345.517,0,25.00,899.5
84,"2021-04-02,22:30",20.70,91.60,-,0.00,262.759,0,24.93,899.7
84,"2021-04-02,23:15",20.40,96.70,-,5.00,243.448,0,24.68,900.1
84,"2021-04-02,23:30",20.20,95.40,-,0.00,287.586,0,24.68,900.3
84,"2021-04-03,00:15",19.90,94.60,-,0.00,341.379,0,24.43,899.8
84,"2021-04-03,00:30",20.20,92.20,-,5.00,10.345,0,24.37,899.6
84,"2021-04-03,01:15",0.00,-,-,0.00,312.414,0,24.06,899.5
84,"2021-04-03,01:30",0.00,-,-,0.00,312.414,0,24.00,899.4
84,"2021-04-03,02:15",0.00,-,-,5.00,301.107,0,23.75,899.4
84,"2021-04-03,02:30",0.00,-,-,0.00,204.49,0,23.75,899.3
84,"2021-04-03,03:15",0.00,-,-,10.00,293.103,0,23.37,899.0
84,"2021-04-03,04:15",-,-,-,5.00,251.28,0,23.06,899.3
84,"2021-04-03,04:30",-,-,-,10.00,265.121,0,23.06,899.3
84,"2021-04-03,05:30",-,-,-,0.00,251.28,0,22.75,899.5
84,"2021-04-03,05:45",-,-,-,0.00,269.273,0,22.62,899.7
84,"2021-04-03,6:00",-,-,-,0.00,278.611,0,22.62,899.7
84,"2021-04-03,05:30",-,-,-,0.00,251.28,0,22.75,899.5
84,"2021-04-03,05:45",-,-,-,0.00,269.273,0,22.62,899.7
84,"2021-04-03,6:00",-,-,-,0.00,278.611,0,22.62,899.7
84,"2021-04-03,05:30",-,-,-,0.00,251.28,0,22.75,899.5
84,"2021-04-03,05:45",-,-,-,0.00,269.273,0,22.62,899.7
84,"2021-04-03,6:00",-,-,-,0.00,278.611,0,22.62,899.7
84,"2021-04-03,05:30",-,-,-,0.00,251.28,0,22.75,899.5
84,"2021-04-03,05:45",-,-,-,0.00,269.273,0,22.62,899.7
84,"2021-04-03,6:00",-,-,-,0.00,278.611,0,22.62,899.7
84,"2021-04-03,05:30",-,-,-,0.00,251.28,0,22.75,899.5
84,"2021-04-03,05:45",-,-,-,0.00,269.273,0,22.62,899.7
84,"2021-04-03,6:00",-,-,-,0.00,278.611,0,22.62,899.7
84,"2021-04-03,05:30",-,-,-,0.00,251.28,0,22.75,899.5
84,"2021-04-03,05:45",-,-,-,0.00,269.273,0,22.62,899.7
84,"2021-04-03,6:00",-,-,-,0.00,278.611,0,22.62,899.7
84,"2021-04-03,07:15",-,-,0.013000,0.00,318.889,0,22.43,900.6
84,"2021-04-03,08:15",-,-,0.031000,5.00,294.483,0,22.68,901.0
84,"2021-04-03,08:30",-,-,0.013464,0.00,260.0,0,22.81,901.0
84,"2021-04-03,08:45",-,-,-0.013536,5.00,273.793,0,22.93,901.1
84,"2021-04-03,09:45",0.00,-,-0.031072,5.00,273.793,0,24.06,901.1
84,"2021-04-03,10:00",0.00,-,-0.025072,5.00,254.048,0,24.25,901.2
84,"2021-04-03,10:30",27.40,60.20,-0.022680,10.00,310.556,0,24.87,901.1
84,"2021-04-03,10:45",28.10,57.00,-0.010680,5.00,309.167,0,25.18,901.0
84,"2021-04-03,11:00",28.20,57.70,-0.007680,5.00,248.056,0,25.25,900.9
84,"2021-04-03,11:30",29.30,55.60,0.008320,0.00,91.111,0,26.43,900.5
84,"2021-04-03,11:45",30.30,53.90,0.011320,10.00,297.77,0,26.87,900.4
