STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
89,"2021-03-17,09:15",25.32,65.78,-0.025536,2.5,-,0,25.75,892.6
89,"2021-03-17,09:30",25.12,66,0.026,2.5,-,0,27.37,892.5
89,"2021-03-17,09:45",25,66.53,0.031,2.5,-,0,2,892.5
89,"2021-03-17,10:15",27.13,59.99,-0.003536,0,-,0,27.75,892.9
89,"2021-03-17,10:30",29.62,53.35,0.009464,2.5,-,0,27.5,893
89,"2021-03-17,11:15",30.31,50.9,0.014464,0,-,0,27.31,892.4
89,"2021-03-17,11:30",30.92,48.81,0.021464,0,-,0,27.56,892.4
89,"2021-03-17,12:15",32.43,45.45,-0.031072,0,-,0,33.75,891.9
89,"2021-03-17,13:15",32.38,40.29,-0.006536,2.5,-,0,36.12,890.9
89,"2021-03-17,13:30",33.77,37.26,0.018464,0,-,0,35.87,890.6
89,"2021-03-17,14:15",33.53,38.4,-0.020536,2.5,-,0,36.43,889.7
89,"2021-03-17,17:15",31.53,38.73,0.01,0,-,0,32.68,886.7
89,"2021-03-17,17:30",31.19,40.45,0.01,2.5,-,0,32.5,886.7
89,"2021-03-17,18:15",30.12,44.33,0.001,2.5,-,0,31.06,887.4
89,"2021-03-17,18:30",29.88,45.32,0.001,2.5,-,0,30.81,887.5
89,"2021-03-17,19:15",23.96,65.48,-,5,309.167,0,29.31,889.7
89,"2021-03-17,20:15",20.99,87.47,-,0,184.844,0,26.12,891.2
89,"2021-03-17,20:30",20.85,88.83,-,0,164.083,0,26.06,891.3
89,"2021-03-17,21:15",20.28,83.36,-,0,105.952,0,25,891.5
89,"2021-03-17,23:30",19.92,91.14,-,0,115.64,0,24.06,892.4
89,"2021-03-17,23:45",20.11,89.43,-,0,158.547,0,24.06,892.5
89,"2021-03-18,00:30",20.1,89.15,-,0,171.003,0,23.62,892.5
89,"2021-03-18,00:45",19.92,90.97,-,0,146.09,0,23.62,892.6
89,"2021-03-18,01:30",20.09,92.18,-,0,165.467,0,23.43,892.4
89,"2021-03-18,01:45",20.24,89.14,-,0,150.242,0,23.37,892.4
89,"2021-03-18,02:30",20.16,88.67,-,0,129.481,0,23.12,892.4
89,"2021-03-18,02:45",20.46,86.26,-,0,114.256,0,23.06,892.3
89,"2021-03-18,03:30",19.79,89.39,-,0,122.561,0,22.81,891.9
